Number	Item	Present in manuscript? Yes/No/NA	Comments or location in manuscript.1
1.0	Structured or unstructured abstract	Yes	Contains unstructured abstract followed by plain language summary covering background, methods, results and significance.
1.1	Study design	Yes	States comparative metatranscriptomic study design with 2-day time series across 3 lake types.
1.2	Environmental & sample information	Yes	Describes freshwater lake samples from three different trophic states.
1.3	Host information (if applicable)	NA	No host organisms involved in study.
1.4	Experiments & omics methods	Yes	Details metatranscriptomic sequencing and analysis methods.
1.5	Analyses & results	Yes	Reports findings on diel expression patterns between phototrophic and heterotrophic microbes.
2.0	Background & rationale	Yes	Comprehensive introduction explaining importance of understanding microbial interactions in freshwater systems.
2.1	Hypotheses or questions	Yes	Clear hypotheses stated about diel gene expression patterns.
3.0	Study design	Yes	Details 2-day time series sampling every 4h in 3 contrasting lake types.
3.1	Samples	Yes	Describes epilimnion sampling from 3 lakes with replication.
3.2	Environmental context & geographic location	Yes	Provides coordinates and descriptions for each lake in Wisconsin.
3.3	Relevant dates	Yes	Reports sampling dates in July 2016.
3.4	Host(s) (if applicable)	NA	No host organisms involved.
3.5	Ethics	NA	No permits required for water sampling.
3.6	Environmental conditions & experimental treatments	Yes	Reports environmental parameters measured at each timepoint.
3.7	Sample collection	Yes	Details integrated water sampling methods.
3.8	Eligibility/selection criteria	Yes	Explains lake selection rationale based on trophic status.
3.9	Analytic sample size	Yes	Reports triplicate samples per timepoint with some exceptions.
4.0	Storage & preservation	Yes	Describes flash freezing and -80C storage.
4.1	Shipping	NA	Not applicable as processed on site.
4.2	Extraction methods	Yes	Details RNA extraction protocols.
4.3	Experiments & sample processing	Yes	Describes sample processing and RNA isolation methods.
4.4	Library preparation	Yes	Reports library prep methods including rRNA depletion.
4.5	Depletion, enrichment, & multiplexing	Yes	Describes rRNA depletion approach.
4.6	Primer selection	NA	Not applicable for metatranscriptomics.
5.0	Positive controls	Yes	Reports use of internal RNA standard.
5.1	Negative controls	No	No negative controls mentioned.
6.0	Quantification & quality assessments	Yes	Details QC criteria and filtering steps.
6.1	Contaminant mitigation & identification	Yes	Describes filtering of poor quality reads and samples.
6.2	Replication	Yes	Reports replicate sampling and analysis approach.
6.3	Sequencing methods	Yes	Details Illumina sequencing methods.
6.4	Metabolomics, metaproteomics, & other omics methods	NA	Only metatranscriptomics performed.
6.5	Contextual & linked datasets	Yes	References environmental data from NEON.
6.6	Batch effects	No	No discussion of batch effects.
7.0	Bioinformatics analyses	Yes	Comprehensive description of bioinformatics pipelines.
7.1	Quality control	Yes	Details QC filtering criteria.
7.2	Normalization	Yes	Describes normalization using internal standard.
7.3	Database information	Yes	Reports reference databases used.
7.4	Statistical methods	Yes	Details statistical approaches including RAIN analysis.
7.5	Missing data	Yes	Explains handling of missing samples.
7.6	Bias & confounding variables	Yes	Discusses technical variability.
7.7	Subgroup analysis	Yes	Reports analysis by functional categories.
7.8	Sensitivity analyses	No	No sensitivity analyses reported.
7.9	Criteria for significance	Yes	States p-value cutoffs.
8.0	Metadata access	Yes	States data available via OSF.
8.1	Host data access (if applicable)	NA	No host data involved.
8.2	Raw data access	Yes	States sequence data available via JGI.
8.3	Processed data access	Yes	States processed data available via OSF.
8.4	Software & source code access	Yes	Code available on GitHub.
8.5	Reproducible research	Yes	Methods and code provided for reproducibility.
9.0	Descriptive data	Yes	Reports environmental parameters for each lake.
10.0	Microbiome sequencing data	NA	Not a microbiome sequencing study.
10.1	Metabolomics, proteomics, & other omics data	Yes	Reports metatranscriptomic results.
10.2	Statistical analyses	Yes	Reports statistical test results.
10.3	Figures, tables, & captions	Yes	Clear figures and detailed captions.
11.0	Key results	Yes	Clear summary of major findings.
11.1	Interpretation	Yes	Thorough discussion of results and implications.
11.2	Limitations	Yes	Discusses technical limitations.
11.3	Generalizability	Yes	Discusses broader implications.
12.0	Ongoing & future work	Yes	Outlines future research directions.
13.0	Conclusions	Yes	Clear conclusions provided.
14.0	Acknowledgements	Yes	Comprehensive acknowledgements section.
14.1	Funding	Yes	Details funding sources.
15.0	Conflicts of interest	Yes	States no conflicts.
16.0	Supplementary data & files	Yes	References supplementary materials.
17.0	Sample & data availability	Yes	Data availability statement provided.
18.0	AI usage	No	No mention of AI usage.
