Number	Item	Present in the manuscript? Yes/No/NA	Comments or location in manuscript.1
1.0	Structured or unstructured abstract	Yes	Unstructured abstract present with background, methods, results and significance (lines 13-33)
1.1	Study design	Yes	Study design described in abstract - pilot study with standardized sampling and molecular analysis
1.2	Environmental & sample information	Yes	Abstract describes soil samples across CONUS with focus on molecular composition and structure
1.3	Host information (if applicable)	NA	No host organisms involved in this study
1.4	Experiments & omics methods	Yes	Abstract describes FTICR-MS and XCT methods plus other molecular analyses
1.5	Analyses & results	Yes	Abstract summarizes key analyses and findings related to wildfire impacts on soil
2.0	Background & rationale	Yes	Introduction provides extensive background on soil carbon cycling and rationale for molecular-level analyses
2.1	Hypotheses or questions	Yes	Research objectives stated clearly to develop CONUS-scale molecular database and demonstrate utility through wildfire case study
3.0	Study design	Yes	Study design described in Data Generation Overview section (lines 108-145)
3.1	Samples	Yes	Sample collection and preparation detailed in Approach section and Fig 1B
3.2	Environmental context & geographic location	Yes	Geographic locations provided in map (Fig 1A) and site descriptions
3.3	Relevant dates	Yes	Sample collection dates provided (e.g., November 2021 for case study)
3.4	Host(s) (if applicable)	NA	No host organisms involved
3.5	Ethics	Yes	Acknowledgment of tribal leaders and permits mentioned (lines 337-338)
3.6	Environmental conditions & experimental treatments	Yes	Environmental conditions and site history described in case study 
3.7	Sample collection	Yes	Detailed sample collection methods provided in Approach section
3.8	Eligibility/selection criteria	Yes	Sample selection criteria described in Dataset Description
3.9	Analytic sample size	Yes	Sample sizes specified (76 cores total, 3 for case study)
4.0	Storage & preservation	Yes	Sample shipping and storage described (lines 108-109)
4.1	Shipping	Yes	Shipping methods described (shipped on ice within 24h)
4.2	Extraction methods	Yes	Multiple extraction methods detailed in Data Generation Overview
4.3	Experiments & sample processing	Yes	Sample processing detailed extensively in Methods
4.4	Library preparation	NA	Not applicable - no sequencing library prep
4.5	Depletion, enrichment, & multiplexing	NA	Not applicable - no sequencing involved
4.6	Primer selection	NA	Not applicable - no PCR/sequencing performed
5.0	Positive controls	No	No positive controls described
5.1	Negative controls	No	No negative controls described
6.0	Quantification & quality assessments	Yes	Quality assessment methods described for various analyses
6.1	Contaminant mitigation & identification	No	No contamination control methods described
6.2	Replication	Yes	Replicate cores collected (2x 30cm cores per site)
6.3	Sequencing methods	NA	Not applicable - no sequencing performed
6.4	Metabolomics, metaproteomics, & other omics methods	Yes	FTICR-MS methods described in detail
6.5	Contextual & linked datasets	Yes	Data availability described (Zenodo repository)
6.6	Batch effects	No	No discussion of batch effects
7.0	Bioinformatics analyses	Yes	Data analysis methods described for FTICR-MS and XCT
7.1	Quality control	Yes	Data QC described for various analyses
7.2	Normalization	Yes	Data normalization described for analyses
7.3	Database information	Yes	Reference databases described (e.g., KEGG)
7.4	Statistical methods	Yes	Statistical methods described in case study
7.5	Missing data	No	No discussion of missing data handling
7.6	Bias & confounding variables	Yes	Limitations and potential biases discussed
7.7	Subgroup analysis	Yes	Subgroup analyses by depth and burn history
7.8	Sensitivity analyses	No	No sensitivity analyses described
7.9	Criteria for significance	Yes	Statistical significance criteria stated
8.0	Metadata access	Yes	Data availability via Zenodo described
8.1	Host data access (if applicable)	NA	No host data involved
8.2	Raw data access	Yes	Raw data availability described
8.3	Processed data access	Yes	Processed data availability described
8.4	Software & source code access	Yes	Software and analysis tools cited
8.5	Reproducible research	Yes	Reproducibility addressed through data/code availability
9.0	Descriptive data	Yes	Sample characteristics described in detail
10.0	Microbiome sequencing data	NA	Not applicable - no microbiome sequencing
10.1	Metabolomics, proteomics, & other omics data	Yes	FTICR-MS data reported
10.2	Statistical analyses	Yes	Statistical analyses reported throughout Results
10.3	Figures, tables, & captions	Yes	Multiple informative figures with detailed captions
11.0	Key results	Yes	Key findings summarized in Case Study Conclusions
11.1	Interpretation	Yes	Results interpreted in context of wildfire impacts
11.2	Limitations	Yes	Study limitations discussed (e.g., small sample size)
11.3	Generalizability	Yes	Broader implications discussed
12.0	Ongoing & future work	Yes	Future directions discussed in final section
13.0	Conclusions	Yes	Conclusions provided in final paragraph
14.0	Acknowledgements	Yes	Acknowledgements section present
14.1	Funding	Yes	Funding sources detailed
15.0	Conflicts of interest	Yes	Disclaimer statement included
16.0	Supplementary data & files	Yes	Supplementary data referenced
17.0	Sample & data availability	Yes	Data availability described with repository links
18.0	AI usage	No	No mention of AI usage
