Number	Item	Present in the manuscript? Yes/No/NA	Comments or location in manuscript.1
1.0	Structured or unstructured abstract	Yes	Abstract is unstructured but contains all recommended elements (background, methods, results, conclusions, significance)
1.1	Study design	Yes	Study design (high temporal resolution field sampling) stated in abstract
1.2	Environmental & sample information	Yes	Specifies East Sound, WA coastal waters and marine microbial samples (0.22-1.2 μm fraction)
1.3	Host information (if applicable)	NA	No host organisms were studied
1.4	Experiments & omics methods	Yes	States DNA sequencing and metagenomics methods, plus nutrient analysis and flow cytometry
1.5	Analyses & results	Yes	Describes capturing bloom cycles and providing gene abundances for bacteria, archaea, and viruses
2.0	Background & rationale	Yes	Extensive background on phytoplankton blooms and their importance provided in Background & Summary section
2.1	Hypotheses or questions	Yes	Research aim to understand community-level controls on bloom cycles stated in introduction
3.0	Study design	Yes	Details sampling frequency (4 hours), duration (22 days), location (East Sound, WA), and field vs. lab components throughout Methods
3.1	Samples	Yes	Sample types, collection methods, and IDs detailed in Methods section
3.2	Environmental context & geographic location	Yes	Detailed coordinates and site description provided in Methods (Lat: N 48° 40.590′, Long: W 122° 52.994′)
3.3	Relevant dates	Yes	Study dates specified as May 27-June 18, 2021 with precise timing
3.4	Host(s) (if applicable)	NA	No host organisms were studied
3.5	Ethics	No	No statement about permits or research ethics protocols
3.6	Environmental conditions & experimental treatments	Yes	Details about tides, light levels, and environmental parameters provided throughout
3.7	Sample collection	Yes	Comprehensive sampling protocol described in Methods
3.8	Eligibility/selection criteria	Yes	Sample inclusion criteria described in Methods
3.9	Analytic sample size	Yes	Reports 128 DNA samples out of 133 time points collected
4.0	Storage & preservation	Yes	Details about sample preservation in DNA/RNA Shield and liquid nitrogen provided
4.1	Shipping	No	No information about sample transport provided
4.2	Extraction methods	Yes	DNA extraction methods using Qiagen DNeasy PowerWater kit detailed
4.3	Experiments & sample processing	Yes	Detailed processing protocols provided in Methods
4.4	Library preparation	Yes	Detailed library prep protocol provided in Methods
4.5	Depletion, enrichment, & multiplexing	Yes	Size fractionation and filtering described in Methods
4.6	Primer selection	NA	Not applicable for metagenomic sequencing
5.0	Positive controls	No	No mention of positive controls
5.1	Negative controls	No	No mention of negative controls
6.0	Quantification & quality assessments	Yes	DNA quantification using Quant-iT DNA Assay Kits described
6.1	Contaminant mitigation & identification	Yes	BBDuk used to remove contaminants described in Technical Validation
6.2	Replication	Yes	Biological replicates described for various measurements
6.3	Sequencing methods	Yes	Detailed Illumina sequencing methods provided
6.4	Metabolomics, metaproteomics, & other omics methods	NA	Study only used metagenomics
6.5	Contextual & linked datasets	Yes	Environmental data, nutrients, flow cytometry data provided
6.6	Batch effects	No	No discussion of batch effects
7.0	Bioinformatics analyses	Yes	Detailed bioinformatics methods provided in Methods
7.1	Quality control	Yes	Quality control steps described in Technical Validation
7.2	Normalization	Yes	Data transformations described in Methods
7.3	Database information	Yes	References to IMG/M and other databases provided
7.4	Statistical methods	Yes	Statistical analyses described throughout Methods
7.5	Missing data	Yes	Missing data points addressed in Results
7.6	Bias & confounding variables	No	No explicit discussion of potential biases
7.7	Subgroup analysis	NA	No subgroup analyses performed
7.8	Sensitivity analyses	No	No sensitivity analyses reported
7.9	Criteria for significance	No	No explicit significance criteria provided
8.0	Metadata access	Yes	Detailed data access information provided
8.1	Host data access (if applicable)	NA	No host organisms were studied
8.2	Raw data access	Yes	NCBI Sequence Read Archive accession provided
8.3	Processed data access	Yes	Access to processed data through JGI portal described
8.4	Software & source code access	Yes	GitHub repository and code availability detailed
8.5	Reproducible research	Yes	Reproducibility information provided in Code availability section
9.0	Descriptive data	Yes	Comprehensive environmental and sample characteristics provided
10.0	Microbiome sequencing data	Yes	Detailed sequencing results provided
10.1	Metabolomics, proteomics, & other omics data	NA	Study only used metagenomics
10.2	Statistical analyses	Yes	Statistical results reported throughout Results
10.3	Figures, tables, & captions	Yes	Clear figures with detailed captions provided
11.0	Key results	Yes	Key findings summarized in Discussion
11.1	Interpretation	Yes	Results interpreted in context of objectives
11.2	Limitations	No	No explicit discussion of study limitations
11.3	Generalizability	No	No explicit discussion of result generalizability
12.0	Ongoing & future work	No	No discussion of future research directions
13.0	Conclusions	Yes	Main conclusions presented in Background & Summary
14.0	Acknowledgements	Yes	Detailed acknowledgements section provided
14.1	Funding	Yes	Comprehensive funding information provided
15.0	Conflicts of interest	Yes	Conflicts of interest statement included
16.0	Supplementary data & files	Yes	Supplementary datasets described and accessible
17.0	Sample & data availability	Yes	Comprehensive data availability statement provided
18.0	AI usage	No	No statement about AI usage in the study
