Number	Item	Present in the manuscript? Yes/No/NA	Comments or location in manuscript.1
1.0	Structured or unstructured abstract	Yes	Unstructured abstract present with background, methods, results and conclusions sections.
1.1	Study design	Yes	States "incubation experiment" and describes metagenomics/transcriptomics approach in abstract
1.2	Environmental & sample information	Yes	Clear description of humic and clearwater lake samples and physicochemical characteristics in abstract
1.3	Host information	NA	Study does not involve host organisms
1.4	Experiments & omics methods	Yes	Details metagenomic sequencing, metatranscriptomics and bioinformatics analyses in abstract
1.5	Analyses & results	Yes	Abstract summarizes key findings about opsin gene diversity, distribution and expression
2.0	Background & rationale	Yes	Introduction provides comprehensive background on microbial rhodopsins with citations
2.1	Hypotheses or questions	Yes	States two specific hypotheses about bacterial diversity correlation and invasion in Introduction
3.0	Study design	Yes	Detailed experimental design described in Methods section 2.2
3.1	Samples	Yes	Describes lake water sample collection in Methods 2.1
3.2	Environmental context & geographic location	Yes	Provides GPS coordinates and lake characteristics in Methods 2.1
3.3	Relevant dates	Yes	Sampling dates provided (2007-2012) in Methods 2.1
3.4	Host(s)	NA	No host organisms involved
3.5	Ethics	No	No ethics statements or permits mentioned
3.6	Environmental conditions & experimental treatments	Yes	Details incubation conditions and treatments in Methods 2.2
3.7	Sample collection	Yes	Describes sampling methods and depths in Methods 2.1
3.8	Eligibility/selection criteria	Yes	Criteria for MAG quality and sequence filtering described in Methods
3.9	Analytic sample size	Yes	Reports number of samples and replicates throughout Methods
4.0	Storage & preservation	Yes	Sample storage at -20°C described in Methods
4.1	Shipping	No	No shipping information provided
4.2	Extraction methods	Yes	DNA/RNA extraction protocols detailed in Methods 2.3
4.3	Experiments & sample processing	Yes	Processing steps described in Methods 2.2-2.3
4.4	Library preparation	Yes	Sequencing library prep protocol in Methods 2.3
4.5	Depletion, enrichment, & multiplexing	Yes	Library indexing described in Methods 2.3
4.6	Primer selection	Yes	Primer sequences provided in Table S2
5.0	Positive controls	No	No positive controls mentioned
5.1	Negative controls	Yes	Extraction and PCR controls described in Methods 2.3
6.0	Quantification & quality assessments	Yes	Quality control steps detailed in Methods 2.3-2.4
6.1	Contaminant mitigation & identification	Yes	Contamination filtering described in Methods 2.4
6.2	Replication	Yes	Three replicates per treatment described
6.3	Sequencing methods	Yes	Sequencing platform and parameters in Methods 2.3
6.4	Metabolomics, metaproteomics, & other omics methods	NA	No other omics methods used
6.5	Contextual & linked datasets	Yes	References prior datasets and supplementary data
6.6	Batch effects	No	No discussion of batch effects
7.0	Bioinformatics analyses	Yes	Detailed bioinformatics pipeline in Methods 2.4
7.1	Quality control	Yes	Sequence QC parameters in Methods 2.4
7.2	Normalization	Yes	Read depth normalization described in Methods 2.4
7.3	Database information	Yes	SILVA database version specified in Methods 2.4
7.4	Statistical methods	Yes	Statistical analyses detailed in Methods 2.4
7.5	Missing data	No	No discussion of missing data handling
7.6	Bias & confounding variables	Yes	Potential biases discussed in Discussion
7.7	Subgroup analysis	Yes	Analysis of different bacterial groups described
7.8	Sensitivity analyses	No	No sensitivity analyses mentioned
7.9	Criteria for significance	Yes	Statistical significance criteria specified
8.0	Metadata access	Yes	Data availability statement provided
8.1	Host data access	NA	No host data involved
8.2	Raw data access	Yes	Data deposited in IMG and ENA with accession numbers
8.3	Processed data access	Yes	Processed data available in supplementary materials
8.4	Software & source code access	Yes	Software versions and parameters provided
8.5	Reproducible research	Yes	Methods described in reproducible detail
9.0	Descriptive data	Yes	Sample characteristics described in Results
10.0	Microbiome sequencing data	Yes	Sequencing results reported in Results section 3
10.1	Metabolomics, proteomics, & other omics data	NA	No other omics data
10.2	Statistical analyses	Yes	Statistical results reported throughout Results
10.3	Figures, tables, & captions	Yes	Multiple figures and tables with detailed captions
11.0	Key results	Yes	Key findings summarized in Discussion 
11.1	Interpretation	Yes	Results interpreted in context of hypotheses
11.2	Limitations	Yes	Study limitations discussed in Discussion
11.3	Generalizability	Yes	Discusses applicability to other lake systems
12.0	Ongoing & future work	Yes	Future research directions discussed
13.0	Conclusions	Yes	Clear conclusions provided
14.0	Acknowledgements	Yes	Comprehensive acknowledgements section
14.1	Funding	Yes	Detailed funding information provided
15.0	Conflicts of interest	Yes	COI statement included
16.0	Supplementary data & files	Yes	Supplementary tables and files referenced
17.0	Sample & data availability	Yes	Data availability statement with accession numbers
18.0	AI usage	No	No mention of AI usage
