Number	Item	Present in the manuscript? Yes/No/NA	Comments or location in manuscript.1
1.0	Structured or unstructured abstract	Yes	Contains both an abstract and plain language summary with background, methods, results and significance.
1.1	Study design	Yes	States this is a laboratory-controlled freeze-thaw incubation experiment examining two soil systems.
1.2	Environmental & sample information	Yes	Describes permafrost soils from two Alaskan sites and depths up to 60 cm.
1.3	Host information (if applicable)	NA	Study does not involve host organisms.
1.4	Experiments & omics methods	Yes	Describes use of FT-ICR-MS analysis to identify carbon compounds and oxidation states.
1.5	Analyses & results	Yes	Describes major findings regarding carbon composition differences between sites and response to freeze-thaw.
2.0	Background & rationale	Yes	Introduction thoroughly explains importance of understanding freeze-thaw cycles in permafrost soils with citations.
2.1	Hypotheses or questions	Yes	Two clear hypotheses presented in introduction regarding carbon composition and freeze-thaw response.
3.0	Study design	Yes	Describes lab incubation design comparing two sites with different freeze-thaw histories.
3.1	Samples	Yes	Details number of cores (3 per site) and depths/horizons sampled from each site.
3.2	Environmental context & geographic location	Yes	Provides coordinates and detailed site descriptions for Healy and Toolik locations in Alaska.
3.3	Relevant dates	Yes	States cores were collected in April 2016.
3.4	Host(s) (if applicable)	NA	No host organisms involved.
3.5	Ethics	NA	No human/animal subjects or permits required for soil sampling.
3.6	Environmental conditions & experimental treatments	Yes	Describes site conditions, soil properties, and experimental freeze-thaw treatments.
3.7	Sample collection	Yes	Describes use of Gidding's probe for core extraction and preservation methods.
3.8	Eligibility/selection criteria	Yes	Explains site selection based on contrasting freeze-thaw histories.
3.9	Analytic sample size	Yes	Reports 3 cores per site to ~60 cm depth.
4.0	Storage & preservation	Yes	Details -40°C storage of cores and handling conditions.
4.1	Shipping	Yes	States cores were shipped frozen to Oregon State University.
4.2	Extraction methods	Yes	Describes water extraction methods for FT-ICR-MS analysis.
4.3	Experiments & sample processing	Yes	Details laboratory freeze-thaw incubation parameters and sub-sampling procedures.
4.4	Library preparation	NA	Not applicable - no sequencing performed.
4.5	Depletion, enrichment, & multiplexing	NA	Not applicable - no sequencing performed.
4.6	Primer selection	NA	Not applicable - no PCR/sequencing performed.
5.0	Positive controls	No	No mention of positive controls or standards.
5.1	Negative controls	No	No mention of negative controls.
6.0	Quantification & quality assessments	Yes	Details FT-ICR-MS data filtering and quality parameters.
6.1	Contaminant mitigation & identification	Yes	Describes signal filtering and peak selection criteria.
6.2	Replication	Yes	Reports 3 replicate cores per site.
6.3	Sequencing methods	NA	Not applicable - no sequencing performed.
6.4	Metabolomics, metaproteomics, & other omics methods	Yes	Comprehensive description of FT-ICR-MS methods and parameters.
6.5	Contextual & linked datasets	Yes	References NEON soil temperature data used to calculate freeze-thaw cycles.
6.6	Batch effects	No	Batch effects not discussed.
7.0	Bioinformatics analyses	Yes	Details statistical analyses and data processing methods.
7.1	Quality control	Yes	Describes filtering criteria and data quality thresholds.
7.2	Normalization	Yes	Explains relative abundance calculations and data transformations.
7.3	Database information	NA	Not applicable - no sequence databases used.
7.4	Statistical methods	Yes	Details statistical tests including PERMANOVA, ANOVA, PCA.
7.5	Missing data	Yes	States exclusion criteria for missing data and low quality measurements.
7.6	Bias & confounding variables	Yes	Discusses potential confounding factors like moisture and mineralogy.
7.7	Subgroup analysis	Yes	Describes analysis by depth classes and site comparisons.
7.8	Sensitivity analyses	No	No sensitivity analyses reported.
7.9	Criteria for significance	Yes	States alpha = 0.05 for statistical significance.
8.0	Metadata access	Yes	Notes data and code availability via GitHub.
8.1	Host data access (if applicable)	NA	No host data involved.
8.2	Raw data access	Yes	States data available on GitHub with link provided.
8.3	Processed data access	Yes	States processed data available on GitHub and EMSL.
8.4	Software & source code access	Yes	Lists all software used with versions and provides GitHub repository link.
8.5	Reproducible research	Yes	Provides code availability and methods for reproducibility.
9.0	Descriptive data	Yes	Comprehensive reporting of soil properties and site characteristics.
10.0	Microbiome sequencing data	NA	No sequencing performed.
10.1	Metabolomics, proteomics, & other omics data	Yes	Reports FT-ICR-MS results including carbon compound classifications.
10.2	Statistical analyses	Yes	Reports statistical test results with p-values.
10.3	Figures, tables, & captions	Yes	Clear figures and tables with detailed captions.
11.0	Key results	Yes	Clear summary of key findings tied to objectives.
11.1	Interpretation	Yes	Thorough discussion of results and implications.
11.2	Limitations	Yes	Discusses limitations of methods and interpretations.
11.3	Generalizability	Yes	Discusses broader implications for permafrost carbon cycling.
12.0	Ongoing & future work	Yes	Notes need for further research on thawing permafrost response.
13.0	Conclusions	Yes	Clear conclusions summarizing major findings.
14.0	Acknowledgements	Yes	Comprehensive acknowledgements section.
14.1	Funding	Yes	Lists funding sources and grant information.
15.0	Conflicts of interest	No	No conflicts of interest statement found.
16.0	Supplementary data & files	Yes	References supplementary figures and information.
17.0	Sample & data availability	Yes	States data/code availability via GitHub and EMSL.
18.0	AI usage	No	No mention of AI usage.
