slot	count	value	split	UCUM	confidence	notes
abs_air_humidity	192.0	gram per gram, kilogram per kilogram, kilogram, pound	gram per gram	g/g	high	Exact match on UCUM description
abs_air_humidity	192.0	gram per gram, kilogram per kilogram, kilogram, pound	kilogram	kg	high	Exact match on UCUM description
abs_air_humidity	192.0	gram per gram, kilogram per kilogram, kilogram, pound	kilogram per kilogram		none	No match found
abs_air_humidity	192.0	gram per gram, kilogram per kilogram, kilogram, pound	pound	[lb_av]	low	Partial match on UCUM description
add_date	2637.0					
agrochem_addition	2676.0	gram, mole per liter, milligram per liter	gram	g	high	Exact match on UCUM description
agrochem_addition	2676.0	gram, mole per liter, milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
agrochem_addition	2676.0	gram, mole per liter, milligram per liter	mole per liter	mol/L	high	Exact match on UCUM description
air_temp		degree Celsius	degree Celsius	Cel	high	Exact match on UCUM description
air_temp_regm		meter	meter	m	high	Exact match on UCUM description
al_sat		percentage	percentage		none	No match found
alkalinity		milliequivalent per liter, milligram per liter	milliequivalent per liter	meq/L	high	Exact match on UCUM description
alkalinity		milliequivalent per liter, milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
alt		meter	meter	m	high	Exact match on UCUM description
alternative_identifiers	336.0					
aminopept_act		mole per liter per hour	mole per liter per hour	umol/L/h	low	Partial match on UCUM description
ammonium	45.0	micromole per liter, milligram per liter, parts per million	micromole per liter	umol/L	high	Exact match on UCUM description
ammonium	45.0	micromole per liter, milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
ammonium	45.0	micromole per liter, milligram per liter, parts per million	parts per million		none	No match found
ammonium_nitrogen	1342.0					
amount_light		lux, lumens per square meter	lumens per square meter		none	No match found
amount_light		lux, lumens per square meter	lux		none	No match found
analysis_type	9497.0					
ances_data	105.0					
annual_precpt		millimeter	millimeter	mm	high	Exact match on UCUM description
annual_temp		degree Celsius	degree Celsius	Cel	high	Exact match on UCUM description
antibiotic_regm		milligram	milligram	mg	high	Exact match on UCUM description
api		degrees API	degrees API		none	No match found
area_samp_size		centimeter	centimeter	cm	high	Exact match on UCUM description
aromatics_pc		percent	percent	%	high	Exact match on UCUM description
asphaltenes_pc		percent	percent	%	high	Exact match on UCUM description
associated_studies	13006.0					
association_duration		year, day, hour	day	d	high	Exact match on UCUM description
association_duration		year, day, hour	hour	h	high	Exact match on UCUM description
association_duration		year, day, hour	year	a	high	Exact match on UCUM description
