slot	value	split	UCUM	confidence	notes
pesticide_regm	gram, mole per liter, milligram per liter	gram	g	high	Exact match on UCUM description
agrochem_addition	gram, mole per liter, milligram per liter	gram	g	high	Exact match on UCUM description
fertilizer_regm	gram, mole per liter, milligram per liter	gram	g	high	Exact match on UCUM description
growth_hormone_regm	gram, mole per liter, milligram per liter	gram	g	high	Exact match on UCUM description
mineral_nutr_regm	gram, mole per liter, milligram per liter	gram	g	high	Exact match on UCUM description
pollutants	gram, mole per liter, milligram per liter, microgram per cubic meter	gram	g	high	Exact match on UCUM description
host_dry_mass	kilogram, gram	gram	g	high	Exact match on UCUM description
host_tot_mass	kilogram, gram	gram	g	high	Exact match on UCUM description
weight_loss_3_month	kilogram, gram	gram	g	high	Exact match on UCUM description
host_wet_mass	kilogram, gram	gram	g	high	Exact match on UCUM description
samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	gram	g	high	Exact match on UCUM description
biomass	ton, kilogram, gram	gram	g	high	Exact match on UCUM description
tot_org_carb	gram Carbon per kilogram sample material	gram Carbon per kilogram sample material		none	No match found
rel_humidity_out	gram of air, kilogram of air	gram of air		none	No match found
specific_humidity	gram of air, kilogram of air	gram of air		none	No match found
density	gram per cubic meter, gram per cubic centimeter	gram per cubic centimeter	g/cm3	high	Exact match on UCUM description
humidity_regm	gram per cubic meter	gram per cubic meter	kg/m3	low	Partial match on UCUM description
density	gram per cubic meter, gram per cubic centimeter	gram per cubic meter	kg/m3	low	Partial match on UCUM description
surf_moisture	parts per million, gram per cubic meter, gram per square meter	gram per cubic meter	kg/m3	low	Partial match on UCUM description
abs_air_humidity	gram per gram, kilogram per kilogram, kilogram, pound	gram per gram	g/g	high	Exact match on UCUM description
water_content	gram per gram or cubic centimeter per cubic centimeter	gram per gram or cubic centimeter per cubic centimeter		none	No match found
microbial_biomass	ton, kilogram, gram per kilogram soil	gram per kilogram soil		none	No match found
emulsions	gram per liter	gram per liter	g/L	high	Exact match on UCUM description
org_particles	gram per liter	gram per liter	g/L	high	Exact match on UCUM description
suspend_solids	gram, microgram, milligram per liter, mole per liter, gram per liter, part per million	gram per liter	g/L	high	Exact match on UCUM description
salt_regm	gram, microgram, mole per liter, gram per liter	gram per liter	g/L	high	Exact match on UCUM description
soluble_inorg_mat	gram, microgram, mole per liter, gram per liter, parts per million	gram per liter	g/L	high	Exact match on UCUM description
soluble_org_mat	gram, microgram, mole per liter, gram per liter, parts per million	gram per liter	g/L	high	Exact match on UCUM description
surf_moisture	parts per million, gram per cubic meter, gram per square meter	gram per square meter	g/m2	high	Exact match on UCUM description
primary_prod	milligram per cubic meter per day, gram per square meter per day	gram per square meter per day		none	No match found
food_pack_capacity	grams	grams		none	No match found
radiation_regm	rad, gray	gray	Gy	high	Exact match on UCUM description
samp_time_out	hour	hour	h	high	Exact match on UCUM description
host_age	year, day, hour	hour	h	high	Exact match on UCUM description
association_duration	year, day, hour	hour	h	high	Exact match on UCUM description
sludge_retent_time	hours	hours		none	No match found
cons_food_stor_dur	hours or days	hours or days		none	No match found
study_inc_dur	hours or days	hours or days		none	No match found
timepoint	hours or days	hours or days		none	No match found
window_size	inch, meter	inch	[cin_i]	low	Partial match on UCUM description
ceil_thermal_mass	joule per degree Celsius	joule per degree Celsius		none	No match found
floor_thermal_mass	joule per degree Celsius	joule per degree Celsius		none	No match found
wall_thermal_mass	joule per degree Celsius	joule per degree Celsius		none	No match found
abs_air_humidity	gram per gram, kilogram per kilogram, kilogram, pound	kilogram	kg	high	Exact match on UCUM description
host_dry_mass	kilogram, gram	kilogram	kg	high	Exact match on UCUM description
host_tot_mass	kilogram, gram	kilogram	kg	high	Exact match on UCUM description
weight_loss_3_month	kilogram, gram	kilogram	kg	high	Exact match on UCUM description
host_wet_mass	kilogram, gram	kilogram	kg	high	Exact match on UCUM description
biomass	ton, kilogram, gram	kilogram	kg	high	Exact match on UCUM description
microbial_biomass	ton, kilogram, gram per kilogram soil	kilogram	kg	high	Exact match on UCUM description
rel_humidity_out	gram of air, kilogram of air	kilogram of air		none	No match found
specific_humidity	gram of air, kilogram of air	kilogram of air		none	No match found
abs_air_humidity	gram per gram, kilogram per kilogram, kilogram, pound	kilogram per kilogram		none	No match found
crop_yield	kilogram per metre square	kilogram per metre square		none	No match found
host_body_mass_index	kilogram per square meter	kilogram per square meter	kg/m2	high	Exact match on UCUM description
hcr_pressure	atmosphere, kilopascal	kilopascal	kPa	high	Exact match on UCUM description
inside_lux	kilowatt per square metre	kilowatt per square metre		none	No match found
solar_irradiance	kilowatts per square meter per day, ergs per square centimeter per second	kilowatts per square meter per day		none	No match found
water_current	cubic meter per second, knots	knots		none	No match found
watering_regm	milliliter, liter	liter	L	high	Exact match on UCUM description
room_air_exch_rate	liter per hour	liter per hour	L/h	high	Exact match on UCUM description
ventilation_rate	cubic meter per minute, liters per second	liters per second		none	No match found
amount_light	lux, lumens per square meter	lumens per square meter		none	No match found
light_intensity	lux	lux		none	No match found
amount_light	lux, lumens per square meter	lux		none	No match found
light_regm	lux; micrometer, nanometer, angstrom	lux		none	No match found
permeability	mD	mD		none	No match found
host_height	centimeter, millimeter, meter	meter	m	high	Exact match on UCUM description
host_length	centimeter, millimeter, meter	meter	m	high	Exact match on UCUM description
window_size	inch, meter	meter	m	high	Exact match on UCUM description
elev	meter	meter	m	high	Exact match on UCUM description
depth	meter	meter	m	high	Exact match on UCUM description
alt	meter	meter	m	high	Exact match on UCUM description
room_dim	meter	meter	m	high	Exact match on UCUM description
room_door_dist	meter	meter	m	high	Exact match on UCUM description
tvdss_of_hcr_temp	meter	meter	m	high	Exact match on UCUM description
tvdss_of_hcr_press	meter	meter	m	high	Exact match on UCUM description
owc_tvdss	meter	meter	m	high	Exact match on UCUM description
samp_tvdss	meter	meter	m	high	Exact match on UCUM description
samp_md	meter	meter	m	high	Exact match on UCUM description
air_temp_regm	meter	meter	m	high	Exact match on UCUM description
tot_depth_water_col	meter	meter	m	high	Exact match on UCUM description
mean_frict_vel	meter per second	meter per second	m/s	high	Exact match on UCUM description
mean_peak_frict_vel	meter per second	meter per second	m/s	high	Exact match on UCUM description
gravity	meter per square second, g	meter per square second	m/s2	high	Exact match on UCUM description
down_par	microEinstein per square meter per second, microEinstein per square centimeter per second	microEinstein per square centimeter per second		none	No match found
down_par	microEinstein per square meter per second, microEinstein per square centimeter per second	microEinstein per square meter per second		none	No match found
suspend_solids	gram, microgram, milligram per liter, mole per liter, gram per liter, part per million	microgram	ug	high	Exact match on UCUM description
salt_regm	gram, microgram, mole per liter, gram per liter	microgram	ug	high	Exact match on UCUM description
soluble_inorg_mat	gram, microgram, mole per liter, gram per liter, parts per million	microgram	ug	high	Exact match on UCUM description
soluble_org_mat	gram, microgram, mole per liter, gram per liter, parts per million	microgram	ug	high	Exact match on UCUM description
pollutants	gram, mole per liter, milligram per liter, microgram per cubic meter	microgram per cubic meter	ug/m3	high	Exact match on UCUM description
volatile_org_comp	microgram per cubic meter, parts per million, nanogram per liter	microgram per cubic meter	ug/m3	high	Exact match on UCUM description
heavy_metals	microgram per gram	microgram per gram	ug/g	high	Exact match on UCUM description
bishomohopanol	microgram per liter, microgram per gram	microgram per gram	ug/g	high	Exact match on UCUM description
org_matter	microgram per liter	microgram per liter	ug/L	high	Exact match on UCUM description
tot_diss_nitro	microgram per liter	microgram per liter	ug/L	high	Exact match on UCUM description
tot_inorg_nitro	microgram per liter	microgram per liter	ug/L	high	Exact match on UCUM description
bishomohopanol	microgram per liter, microgram per gram	microgram per liter	ug/L	high	Exact match on UCUM description
tot_phosphate	microgram per liter, micromole per liter	microgram per liter	ug/L	high	Exact match on UCUM description
diss_inorg_nitro	microgram per liter, micromole per liter	microgram per liter	ug/L	high	Exact match on UCUM description
part_org_nitro	microgram per liter, micromole per liter	microgram per liter	ug/L	high	Exact match on UCUM description
tot_part_carb	microgram per liter, micromole per liter	microgram per liter	ug/L	high	Exact match on UCUM description
tot_nitro	microgram per liter, micromole per liter, milligram per liter	microgram per liter	ug/L	high	Exact match on UCUM description
diss_inorg_carb	microgram per liter, milligram per liter, parts per million	microgram per liter	ug/L	high	Exact match on UCUM description
chlorophyll	milligram per cubic meter, microgram per liter	microgram per liter	ug/L	high	Exact match on UCUM description
pool_dna_extracts	gram, milliliter, microliter	microliter	uL	high	Exact match on UCUM description
light_regm	lux; micrometer, nanometer, angstrom	micrometer	um	high	Exact match on UCUM description
size_frac_low	micrometer	micrometer	um	high	Exact match on UCUM description
size_frac_up	micrometer	micrometer	um	high	Exact match on UCUM description
particle_class	micrometer	micrometer	um	high	Exact match on UCUM description
bac_resp	milligram per cubic meter per day, micromole oxygen per liter per hour	micromole oxygen per liter per hour		none	No match found
diss_oxygen_fluid	micromole per kilogram, milligram per liter	micromole per kilogram	umol/kg	high	Exact match on UCUM description
diss_oxygen	micromole per kilogram, milligram per liter	micromole per kilogram	umol/kg	high	Exact match on UCUM description
magnesium	mole per liter, milligram per liter, parts per million, micromole per kilogram	micromole per kilogram	umol/kg	high	Exact match on UCUM description
tot_phosphate	microgram per liter, micromole per liter	micromole per liter	umol/L	high	Exact match on UCUM description
diss_inorg_nitro	microgram per liter, micromole per liter	micromole per liter	umol/L	high	Exact match on UCUM description
part_org_nitro	microgram per liter, micromole per liter	micromole per liter	umol/L	high	Exact match on UCUM description
tot_part_carb	microgram per liter, micromole per liter	micromole per liter	umol/L	high	Exact match on UCUM description
tot_nitro	microgram per liter, micromole per liter, milligram per liter	micromole per liter	umol/L	high	Exact match on UCUM description
gaseous_environment	micromole per liter	micromole per liter	umol/L	high	Exact match on UCUM description
diss_hydrogen	micromole per liter	micromole per liter	umol/L	high	Exact match on UCUM description
nitro	micromole per liter	micromole per liter	umol/L	high	Exact match on UCUM description
petroleum_hydrocarb	micromole per liter	micromole per liter	umol/L	high	Exact match on UCUM description
phosphate	micromole per liter	micromole per liter	umol/L	high	Exact match on UCUM description
silicate	micromole per liter	micromole per liter	umol/L	high	Exact match on UCUM description
efficiency_percent	micromole per liter	micromole per liter	umol/L	high	Exact match on UCUM description
gaseous_substances	micromole per liter	micromole per liter	umol/L	high	Exact match on UCUM description
diss_org_carb	micromole per liter, milligram per liter	micromole per liter	umol/L	high	Exact match on UCUM description
diss_carb_dioxide	micromole per liter, milligram per liter	micromole per liter	umol/L	high	Exact match on UCUM description
sulfate	micromole per liter, milligram per liter, parts per million	micromole per liter	umol/L	high	Exact match on UCUM description
sulfide	micromole per liter, milligram per liter, parts per million	micromole per liter	umol/L	high	Exact match on UCUM description
nitrate	micromole per liter, milligram per liter, parts per million	micromole per liter	umol/L	high	Exact match on UCUM description
nitrite	micromole per liter, milligram per liter, parts per million	micromole per liter	umol/L	high	Exact match on UCUM description
ammonium	micromole per liter, milligram per liter, parts per million	micromole per liter	umol/L	high	Exact match on UCUM description
tot_phosp	micromole per liter, milligram per liter, parts per million	micromole per liter	umol/L	high	Exact match on UCUM description
soluble_react_phosp	micromole per liter, milligram per liter, parts per million	micromole per liter	umol/L	high	Exact match on UCUM description
methane	micromole per liter, parts per billion, parts per million	micromole per liter	umol/L	high	Exact match on UCUM description
carb_dioxide	micromole per liter, parts per million	micromole per liter	umol/L	high	Exact match on UCUM description
carb_monoxide	micromole per liter, parts per million	micromole per liter	umol/L	high	Exact match on UCUM description
calcium	milligram per liter, micromole per liter, parts per million	micromole per liter	umol/L	high	Exact match on UCUM description
soil_conductivity	milliSiemens per centimeter	milliSiemens per centimeter		none	No match found
conduc	milliSiemens per centimeter	milliSiemens per centimeter		none	No match found
barometric_press	millibar	millibar	mbar	high	Exact match on UCUM description
alkalinity	milliequivalent per liter, milligram per liter	milliequivalent per liter	meq/L	high	Exact match on UCUM description
antibiotic_regm	milligram	milligram	mg	high	Exact match on UCUM description
samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	milligram	mg	high	Exact match on UCUM description
fluor	milligram chlorophyll a per cubic meter, volts	milligram chlorophyll a per cubic meter		none	No match found
microb_start_inoc	milligram or gram	milligram or gram		none	No match found
phaeopigments	milligram per cubic meter	milligram per cubic meter	mg/m3	high	Exact match on UCUM description
chlorophyll	milligram per cubic meter, microgram per liter	milligram per cubic meter	mg/m3	high	Exact match on UCUM description
bac_prod	milligram per cubic meter per day	milligram per cubic meter per day		none	No match found
primary_prod	milligram per cubic meter per day, gram per square meter per day	milligram per cubic meter per day		none	No match found
bac_resp	milligram per cubic meter per day, micromole oxygen per liter per hour	milligram per cubic meter per day		none	No match found
tot_iron	milligram per liter, milligram per kilogram	milligram per kilogram	mg/kg	high	Exact match on UCUM description
suspend_solids	gram, microgram, milligram per liter, mole per liter, gram per liter, part per million	milligram per liter	mg/L	high	Exact match on UCUM description
fungicide_regm	gram, mole per liter, milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
herbicide_regm	gram, mole per liter, milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
non_min_nutr_regm	gram, mole per liter, milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
pesticide_regm	gram, mole per liter, milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
agrochem_addition	gram, mole per liter, milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
fertilizer_regm	gram, mole per liter, milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
growth_hormone_regm	gram, mole per liter, milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
mineral_nutr_regm	gram, mole per liter, milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
pollutants	gram, mole per liter, milligram per liter, microgram per cubic meter	milligram per liter	mg/L	high	Exact match on UCUM description
tot_nitro	microgram per liter, micromole per liter, milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
diss_inorg_carb	microgram per liter, milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
diss_oxygen_fluid	micromole per kilogram, milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
diss_oxygen	micromole per kilogram, milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
diss_org_carb	micromole per liter, milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
diss_carb_dioxide	micromole per liter, milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
sulfate	micromole per liter, milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
sulfide	micromole per liter, milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
nitrate	micromole per liter, milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
nitrite	micromole per liter, milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
ammonium	micromole per liter, milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
tot_phosp	micromole per liter, milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
soluble_react_phosp	micromole per liter, milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
alkalinity	milliequivalent per liter, milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
root_med_macronutr	milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
root_med_carbon	milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
root_med_micronutr	milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
hcr_fw_salinity	milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
sulfate_fw	milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
vfa_fw	milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
diss_iron	milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
tan	milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
biocide_admin_method	milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
chem_treat_method	milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
chem_mutagen	milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
root_med_suppl	milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
root_med_regl	milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
biochem_oxygen_dem	milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
chem_oxygen_dem	milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
suspend_part_matter	milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
calcium	milligram per liter, micromole per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
tot_iron	milligram per liter, milligram per kilogram	milligram per liter	mg/L	high	Exact match on UCUM description
oxygen	milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
tot_sulfur	milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
sodium	milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
chloride	milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
potassium	milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
vfa	milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
benzene	milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
toluene	milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
ethylbenzene	milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
xylene	milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
inorg_particles	mole per liter, milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
magnesium	mole per liter, milligram per liter, parts per million, micromole per kilogram	milligram per liter	mg/L	high	Exact match on UCUM description
pool_dna_extracts	gram, milliliter, microliter	milliliter	mL	high	Exact match on UCUM description
samp_preserv	milliliter	milliliter	mL	high	Exact match on UCUM description
samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	milliliter	mL	high	Exact match on UCUM description
watering_regm	milliliter, liter	milliliter	mL	high	Exact match on UCUM description
host_height	centimeter, millimeter, meter	millimeter	mm	high	Exact match on UCUM description
host_length	centimeter, millimeter, meter	millimeter	mm	high	Exact match on UCUM description
annual_precpt	millimeter	millimeter	mm	high	Exact match on UCUM description
season_precpt	millimeter	millimeter	mm	high	Exact match on UCUM description
rainfall_regm	millimeter	millimeter	mm	high	Exact match on UCUM description
blood_press_diast	millimeter mercury	millimeter mercury		none	No match found
blood_press_syst	millimeter mercury	millimeter mercury		none	No match found
samp_loc_corr_rate	millimeter per year	millimeter per year		none	No match found
redox_potential	millivolt	millivolt	mV	high	Exact match on UCUM description
photosynt_activ	mol m-2 s-1	mol m-2 s-1		none	No match found
glucosidase_act	mol per liter per hour	mol per liter per hour		none	No match found
suspend_solids	gram, microgram, milligram per liter, mole per liter, gram per liter, part per million	mole per liter	mol/L	high	Exact match on UCUM description
salt_regm	gram, microgram, mole per liter, gram per liter	mole per liter	mol/L	high	Exact match on UCUM description
soluble_inorg_mat	gram, microgram, mole per liter, gram per liter, parts per million	mole per liter	mol/L	high	Exact match on UCUM description
soluble_org_mat	gram, microgram, mole per liter, gram per liter, parts per million	mole per liter	mol/L	high	Exact match on UCUM description
fungicide_regm	gram, mole per liter, milligram per liter	mole per liter	mol/L	high	Exact match on UCUM description
herbicide_regm	gram, mole per liter, milligram per liter	mole per liter	mol/L	high	Exact match on UCUM description
non_min_nutr_regm	gram, mole per liter, milligram per liter	mole per liter	mol/L	high	Exact match on UCUM description
pesticide_regm	gram, mole per liter, milligram per liter	mole per liter	mol/L	high	Exact match on UCUM description
agrochem_addition	gram, mole per liter, milligram per liter	mole per liter	mol/L	high	Exact match on UCUM description
fertilizer_regm	gram, mole per liter, milligram per liter	mole per liter	mol/L	high	Exact match on UCUM description
growth_hormone_regm	gram, mole per liter, milligram per liter	mole per liter	mol/L	high	Exact match on UCUM description
mineral_nutr_regm	gram, mole per liter, milligram per liter	mole per liter	mol/L	high	Exact match on UCUM description
pollutants	gram, mole per liter, milligram per liter, microgram per cubic meter	mole per liter	mol/L	high	Exact match on UCUM description
inorg_particles	mole per liter, milligram per liter	mole per liter	mol/L	high	Exact match on UCUM description
magnesium	mole per liter, milligram per liter, parts per million, micromole per kilogram	mole per liter	mol/L	high	Exact match on UCUM description
aminopept_act	mole per liter per hour	mole per liter per hour	umol/L/h	low	Partial match on UCUM description
volatile_org_comp	microgram per cubic meter, parts per million, nanogram per liter	nanogram per liter	ng/L	high	Exact match on UCUM description
diether_lipids	nanogram per liter	nanogram per liter	ng/L	high	Exact match on UCUM description
light_regm	lux; micrometer, nanometer, angstrom	nanometer	nm	high	Exact match on UCUM description
org_count_qpcr_info	number of cells per gram (or ml or cm^2)	number of cells per gram (or ml or cm^2)		none	No match found
photon_flux	number of photons per second per unit area	number of photons per second per unit area		none	No match found
suspend_solids	gram, microgram, milligram per liter, mole per liter, gram per liter, part per million	part per million	[ppm]	high	Exact match on UCUM description
methane	micromole per liter, parts per billion, parts per million	parts per billion		none	No match found
soluble_inorg_mat	gram, microgram, mole per liter, gram per liter, parts per million	parts per million		none	No match found
soluble_org_mat	gram, microgram, mole per liter, gram per liter, parts per million	parts per million		none	No match found
volatile_org_comp	microgram per cubic meter, parts per million, nanogram per liter	parts per million		none	No match found
diss_inorg_carb	microgram per liter, milligram per liter, parts per million	parts per million		none	No match found
sulfate	micromole per liter, milligram per liter, parts per million	parts per million		none	No match found
sulfide	micromole per liter, milligram per liter, parts per million	parts per million		none	No match found
nitrate	micromole per liter, milligram per liter, parts per million	parts per million		none	No match found
nitrite	micromole per liter, milligram per liter, parts per million	parts per million		none	No match found
ammonium	micromole per liter, milligram per liter, parts per million	parts per million		none	No match found
tot_phosp	micromole per liter, milligram per liter, parts per million	parts per million		none	No match found
soluble_react_phosp	micromole per liter, milligram per liter, parts per million	parts per million		none	No match found
methane	micromole per liter, parts per billion, parts per million	parts per million		none	No match found
carb_dioxide	micromole per liter, parts per million	parts per million		none	No match found
carb_monoxide	micromole per liter, parts per million	parts per million		none	No match found
calcium	milligram per liter, micromole per liter, parts per million	parts per million		none	No match found
oxygen	milligram per liter, parts per million	parts per million		none	No match found
tot_sulfur	milligram per liter, parts per million	parts per million		none	No match found
sodium	milligram per liter, parts per million	parts per million		none	No match found
chloride	milligram per liter, parts per million	parts per million		none	No match found
potassium	milligram per liter, parts per million	parts per million		none	No match found
vfa	milligram per liter, parts per million	parts per million		none	No match found
benzene	milligram per liter, parts per million	parts per million		none	No match found
toluene	milligram per liter, parts per million	parts per million		none	No match found
ethylbenzene	milligram per liter, parts per million	parts per million		none	No match found
xylene	milligram per liter, parts per million	parts per million		none	No match found
magnesium	mole per liter, milligram per liter, parts per million, micromole per kilogram	parts per million		none	No match found
farm_equip_san	parts per million	parts per million		none	No match found
bromide	parts per million	parts per million		none	No match found
surf_moisture	parts per million, gram per cubic meter, gram per square meter	parts per million		none	No match found
water_frequency	per day, per week, per month	per day	/d	high	Exact match on UCUM description
water_frequency	per day, per week, per month	per month	/mo	high	Exact match on UCUM description
