class	class_uri	slot	slot_uri	broad_mappings	close_mappings	exact_mappings	mappings	narrow_mappings	abstract	alias	aliases	annotation_expected_value	annotation_occurrence	annotation_preferred_unit	annotation_tooltip	any_of	comments	contributors	description	designates_type	example_values	id_prefixes	identifier	inlined	inlined_as_list	is_a	list_elements_ordered	maximum_cardinality	maximum_value	minimum_cardinality	minimum_value	mixins	multivalued	notes	pattern	range	rank	recommended	required	see_also	slot_group	string_serialization	structured_aliases	structured_pattern.syntax	title	todos
AttributeValue	nmdc:AttributeValue	has_raw_value																	"The value that was specified for an annotation in raw form, i.e. a string. E.g. ""2 cm"" or ""2-4 cm"""																	string							JsonObj()			
AttributeValue	nmdc:AttributeValue	type	rdf:type																the class_uri of the class that has been instantiated	True	nmdc:Biosample|nmdc:Study													replaces legacy nmdc:type slot|makes it easier to read example data files|required for polymorphic MongoDB collections		uriorcurie			True	https://github.com/microbiomedata/nmdc-schema/issues/1048|https://github.com/microbiomedata/nmdc-schema/issues/1233|https://github.com/microbiomedata/nmdc-schema/issues/248			"JsonObj(workflow_execution_class=StructuredAlias({
  'literal_form': 'workflow_execution_class',
  'predicate': AliasPredicateEnum(text='NARROW_SYNONYM', meaning='http://www.w3.org/2004/02/skos/core#narrowerMatch'),
  'contexts': ['https://bitbucket.org/berkeleylab/jgi-jat/macros/nmdc_metadata.yaml']
}))"			
Biosample	nmdc:Biosample	abs_air_humidity	MIXS:0000122								absolute air humidity	measurement value	1	gram per gram, kilogram per kilogram, kilogram, pound					Actual mass of water vapor - mh20 - present in the air water vapor mixture		9 gram per gram					core field							False			QuantityValue							JsonObj()		absolute air humidity	
Biosample	nmdc:Biosample	add_date																	The date on which the information was added to the database.																	string							JsonObj()			
Biosample	nmdc:Biosample	add_recov_method	MIXS:0001009								secondary and tertiary recovery methods and start date	enumeration;timestamp	1						"Additional (i.e. Secondary, tertiary, etc.) recovery methods deployed for increase of hydrocarbon recovery from resource and start date for each one of them. If ""other"" is specified, please propose entry in ""additional info"" field"		Polymer Addition;2018-06-21T14:30Z					core field							False			TextValue							JsonObj()		secondary and tertiary recovery methods and start date	
Biosample	nmdc:Biosample	additional_info	MIXS:0000300								additional info	text	1						Information that doesn't fit anywhere else. Can also be used to propose new entries for fields with controlled vocabulary							core field							False			TextValue						{text}	JsonObj()		additional info	
Biosample	nmdc:Biosample	address	MIXS:0000218								address	value	1						The street name and building number where the sampling occurred.							core field							False			TextValue						{integer}{text}	JsonObj()		address	
Biosample	nmdc:Biosample	adj_room	MIXS:0000219								adjacent rooms	room name;room number	1						List of rooms (room number, room name) immediately adjacent to the sampling room							core field							False			TextValue						{text};{integer}	JsonObj()		adjacent rooms	
Biosample	nmdc:Biosample	aero_struc	MIXS:0000773								aerospace structure	enumeration	1						Aerospace structures typically consist of thin plates with stiffeners for the external surfaces, bulkheads and frames to support the shape and fasteners such as welds, rivets, screws and bolts to hold the components together		plane					core field							False			TextValue						[plane|glider]	JsonObj()		aerospace structure	
Biosample	nmdc:Biosample	agrochem_addition	MIXS:0000639								history/agrochemical additions	agrochemical name;agrochemical amount;timestamp	m	gram, mole per liter, milligram per liter					Addition of fertilizers, pesticides, etc. - amount and time of applications		roundup;5 milligram per liter;2018-06-21				True	core field							True			TextValue						{text};{float} {unit};{timestamp}	JsonObj()		history/agrochemical additions	
Biosample	nmdc:Biosample	air_PM_concen	MIXS:0000108								air particulate matter concentration	particulate matter name;measurement value	m	micrograms per cubic meter					Concentration of substances that remain suspended in the air, and comprise mixtures of organic and inorganic substances (PM10 and PM2.5); can report multiple PM's by entering numeric values preceded by name of PM		PM2.5;10 microgram per cubic meter				True	core field							True			TextValue						{text};{float} {unit}	JsonObj()		air particulate matter concentration	
Biosample	nmdc:Biosample	air_temp	MIXS:0000124								air temperature	measurement value	1	degree Celsius					Temperature of the air at the time of sampling		20 degree Celsius					core field							False			QuantityValue							JsonObj()		air temperature	
