slot	range	domain	range_is_nmdc_class
abs_air_humidity	QuantityValue	Biosample	True
add_date	string	Biosample, DataGeneration, MassSpectrometry, NucleotideSequencing	False
add_recov_method	TextValue	Biosample	True
additional_info	TextValue	Biosample	True
address	TextValue	Biosample	True
adj_room	TextValue	Biosample	True
aero_struc	TextValue	Biosample	True
agrochem_addition	TextValue	Biosample	True
air_PM_concen	TextValue	Biosample	True
air_temp	QuantityValue	Biosample	True
air_temp_regm	TextValue	Biosample	True
al_sat	QuantityValue	Biosample	True
al_sat_meth	TextValue	Biosample	True
alkalinity	QuantityValue	Biosample	True
alkalinity_method	TextValue	Biosample	True
alkyl_diethers	QuantityValue	Biosample	True
alt	QuantityValue	Biosample	True
alternative_descriptions	string	Study	False
alternative_identifiers	uriorcurie	Biosample, CalibrationInformation, ChemicalConversionProcess, ChemicalEntity, ChromatographicSeparationProcess, ChromatographyConfiguration, CollectingBiosamplesFromSite, Configuration, DataGeneration, DataObject, DissolvingProcess, EnvironmentalMaterialTerm, Extraction, FieldResearchSite, FiltrationProcess, FunctionalAnnotationTerm, GeneProduct, InformationObject, Instrument, LibraryPreparation, MagsAnalysis, Manifest, MassSpectrometry, MassSpectrometryConfiguration, MaterialEntity, MaterialProcessing, MetaboliteIdentification, MetabolomicsAnalysis, MetagenomeAnnotation, MetagenomeAssembly, MetagenomeSequencing, MetaproteomicsAnalysis, MetatranscriptomeAnnotation, MetatranscriptomeAssembly, MetatranscriptomeExpressionAnalysis, MixingProcess, NamedThing, NomAnalysis, NucleotideSequencing, OntologyClass, OrthologyGroup, Pathway, PlannedProcess, Pooling, ProcessedSample, ReadBasedTaxonomyAnalysis, ReadQcAnalysis, Sample, Site, StorageProcess, Study, SubSamplingProcess, WorkflowExecution	False
alternative_names	string	ChemicalEntity, EnvironmentalMaterialTerm, FunctionalAnnotationTerm, OntologyClass, OrthologyGroup, Pathway, Study	False
alternative_titles	string	Study	False
aminopept_act	QuantityValue	Biosample	True
ammonium	QuantityValue	Biosample	True
ammonium_nitrogen	QuantityValue	Biosample	True
amount_light	QuantityValue	Biosample	True
analysis_type	AnalysisTypeEnum	Biosample	False
analyte_category	MassSpectrometryEnum	MassSpectrometry	False
analyte_category	NucleotideSequencingEnum	NucleotideSequencing	False
analyte_category	string	DataGeneration	False
ances_data	TextValue	Biosample	True
annual_precpt	QuantityValue	Biosample	True
annual_temp	QuantityValue	Biosample	True
antibiotic_regm	TextValue	Biosample	True
api	QuantityValue	Biosample	True
applied_roles	CreditEnum	CreditAssociation	False
applies_to_person	PersonValue	CreditAssociation	True
arch_struc	arch_struc_enum	Biosample	False
aromatics_pc	TextValue	Biosample	True
asm_score	float	MetagenomeAssembly, MetatranscriptomeAssembly	False
asphaltenes_pc	TextValue	Biosample	True
associated_dois	Doi	Study	True
associated_studies	Study	Biosample, DataGeneration, MassSpectrometry, NucleotideSequencing	True
atmospheric_data	TextValue	Biosample	True
avg_dew_point	QuantityValue	Biosample	True
avg_occup	TextValue	Biosample	True
avg_temp	QuantityValue	Biosample	True
bac_prod	QuantityValue	Biosample	True
bac_resp	QuantityValue	Biosample	True
bacteria_carb_prod	QuantityValue	Biosample	True
barometric_press	QuantityValue	Biosample	True
basin	TextValue	Biosample	True
bathroom_count	TextValue	Biosample	True
bedroom_count	TextValue	Biosample	True
benzene	QuantityValue	Biosample	True
bin_name	string	MagBin	False
bin_quality	BinQualityEnum	MagBin	False
binned_contig_num	integer	MagsAnalysis	False
biochem_oxygen_dem	QuantityValue	Biosample	True
biocide	TextValue	Biosample	True
biocide_admin_method	TextValue	Biosample	True
biol_stat	biol_stat_enum	Biosample	False
biomass	TextValue	Biosample	True
biomaterial_purity	QuantityValue	ProcessedSample	True
biosample_categories	BiosampleCategoryEnum	Biosample	False
biosample_set	Biosample	Database	True
biotic_regm	TextValue	Biosample	True
biotic_relationship	biotic_relationship_enum	Biosample	False
bishomohopanol	QuantityValue	Biosample	True
blood_press_diast	QuantityValue	Biosample	True
