class	class_uri	slot	slot_uri	close_mappings	exact_mappings	mappings	abstract	alias	aliases	annotation_simple_dict_value	any_of	comments	conforms_to	deprecated	description	domain	example_values	identifier	ifabsent	in_subset	inherited	inlined	is_a	key	list_elements_ordered	multivalued	notes	range	range_expression	rank	readonly	recommended	required	see_also	singular_name	status
UnitOfMeasure	qudt:Unit	abbreviation	qudt:abbreviation												An abbreviation for a unit is a short ASCII string that is used in place of the full name for the unit in  contexts where non-ASCII characters would be problematic, or where using the abbreviation will enhance  readability. When a power of a base unit needs to be expressed, such as squares this can be done using  abbreviations rather than symbols (source: qudt)													string								
UnitOfMeasure	qudt:Unit	derivation													Expression for deriving this unit from other units													string								
UnitOfMeasure	qudt:Unit	descriptive_name	rdfs:label												the spelled out name of the unit, for example, meter													string								
UnitOfMeasure	qudt:Unit	exact mappings	skos:exactMatch					exact_mappings				Do not use this to encode mappings to systems for which a dedicated field exists			Used to link a unit to equivalent concepts in ontologies such as UO, SNOMED, OEM, OBOE, NCIT						False		mappings			True		uriorcurie								
UnitOfMeasure	qudt:Unit	has_quantity_kind	qudt:hasQuantityKind									Potential ontologies include but are not limited to PATO, NCIT, OBOE, qudt.quantityKind			Concept in a vocabulary or ontology that denotes the kind of quantity being measured, e.g. length													uriorcurie								
UnitOfMeasure	qudt:Unit	iec61360code	qudt:iec61360Code																									string								
UnitOfMeasure	qudt:Unit	symbol	qudt:symbol												name of the unit encoded as a symbol													string								
UnitOfMeasure	qudt:Unit	ucum_code	qudt:ucumCode												associates a QUDT unit with its UCUM code (case-sensitive).	UnitOfMeasure												string				True				
alt_description		alt_description_source						source							the source of an attributed description	alt_description				BasicSubset				True				string								
alt_description		alt_description_text						description							text of an attributed description	alt_description				BasicSubset								string					True			
annotatable		annotations													a collection of tag/text tuples with the semantics of OWL Annotation	annotatable						True	extensions			True		annotation								
annotation		annotations													a collection of tag/text tuples with the semantics of OWL Annotation	annotatable						True	extensions			True		annotation								
annotation		extension_tag						tag							a tag associated with an extension	extension								True				uriorcurie					True			
annotation		extension_value						value		True					the actual annotation	extension												AnyValue					True			
annotation		extensions													a tag/text tuple attached to an arbitrary element	extensible						True				True		extension								
anonymous_class_expression		aliases	skos:altLabel		schema:alternateName				synonyms|alternate names|alternative labels|designations			not be confused with the metaslot alias.			Alternate names/labels for the element. These do not alter the semantics of the schema, but may be useful to support search and alignment.	element				BasicSubset						True		string								
anonymous_class_expression		all_of			sh:and										holds if all of the expressions hold					SpecificationSubset			boolean_slot			True		anonymous_class_expression		107.0				https://w3id.org/linkml/docs/specification/05validation/#rules		
