projectGoldId	sequencingStrategy	projectStatus	studyGoldId	biosampleGoldId	ncbiBioProjectAccession	ncbiBioSampleAccession	sraExperimentIds
Gp0452547	Metagenome	Permanent Draft	Gs0154244	Gb0239921	PRJEB42019	SAMEA7724300	ERX4812625|ERX4813362|ERX4814149|ERX4811346
Gp0619312	Targeted Gene Survey	incomplete	Gs0154244	Gb0239921	PRJEB42019	SAMEA7724300	ERX4804772
Gp0619180	Targeted Gene Survey	incomplete	Gs0154244	Gb0239928	PRJEB42019	SAMEA7723945	ERX4809704|ERX4805666|ERX4804223
Gp0452554	Metagenome	Permanent Draft	Gs0154244	Gb0239928	PRJEB42019	SAMEA7723945	ERX4811271|ERX4812550
Gp0452615	Metagenome	Permanent Draft	Gs0154244	Gb0239989	PRJEB42019	SAMEA7724257	ERX4813319|ERX4814106
Gp0619269	Targeted Gene Survey	incomplete	Gs0154244	Gb0239989	PRJEB42019	SAMEA7724257	ERX4804729|ERX4806429
Gp0619292	Targeted Gene Survey	incomplete	Gs0154244	Gb0240012	PRJEB42019	SAMEA7724280	ERX4804752
Gp0452638	Metagenome	Permanent Draft	Gs0154244	Gb0240012	PRJEB42019	SAMEA7724280	ERX4811329|ERX4812608|ERX4814129|ERX4813342
Gp0452695	Metagenome	Permanent Draft	Gs0154244	Gb0240069	PRJEB42019	SAMEA7724196	ERX4811196|ERX4812475|ERX4813953|ERX4813166
Gp0619213	Targeted Gene Survey	incomplete	Gs0154244	Gb0240069	PRJEB42019	SAMEA7724196	ERX4804645
Gp0619230	Targeted Gene Survey	incomplete	Gs0154244	Gb0240099	PRJEB42019	SAMEA7724213	ERX4806389|ERX4804662
Gp0452725	Metagenome	Permanent Draft	Gs0154244	Gb0240099	PRJEB42019	SAMEA7724213	ERX4812492|ERX4813183|ERX4813970|ERX4811213
Gp0452753	Metagenome	incomplete	Gs0154244	Gb0240127	PRJEB42019	SAMEA7723434	ERX4812976|ERX4813763
Gp0619153	Targeted Gene Survey	incomplete	Gs0154244	Gb0240127	PRJEB42019	SAMEA7723434	ERX4806530|ERX4806002|ERX4804151|ERX4805593|ERX4803855|ERX4806967|ERX4807682|ERX4804942|ERX4807871|ERX4803423|ERX4807488
Gp0452584	Metagenome	Permanent Draft	Gs0154244	Gb0239958	PRJEB42019	SAMEA7724112	ERX4812410|ERX4811131|ERX4812986|ERX4813773
Gp0619195	Targeted Gene Survey	incomplete	Gs0154244	Gb0239958	PRJEB42019	SAMEA7724112	ERX4806300|ERX4804507
Gp0619265	Targeted Gene Survey	incomplete	Gs0154244	Gb0239985	PRJEB42019	SAMEA7724253	ERX4804725|ERX4806426
Gp0452611	Metagenome	Permanent Draft	Gs0154244	Gb0239985	PRJEB42019	SAMEA7724253	ERX4811307|ERX4814087|ERX4812586|ERX4813300
Gp0619277	Targeted Gene Survey	incomplete	Gs0154244	Gb0239997	PRJEB42019	SAMEA7724265	ERX4804737|ERX4806434
Gp0452623	Metagenome	incomplete	Gs0154244	Gb0239997	PRJEB42019	SAMEA7724265	ERX4813327|ERX4814114
Gp0452659	Metagenome	Permanent Draft	Gs0154244	Gb0240033	PRJEB42019	SAMEA7724319	ERX4814230|ERX4812700|ERX4813443|ERX4811421
Gp0619331	Targeted Gene Survey	incomplete	Gs0154244	Gb0240033	PRJEB42019	SAMEA7724319	ERX4804791
Gp0452665	Metagenome	incomplete	Gs0154244	Gb0240039	PRJEB42019	SAMEA7724335	ERX4813459|ERX4814246
Gp0619337	Targeted Gene Survey	incomplete	Gs0154244	Gb0240039	PRJEB42019	SAMEA7724335	ERX4804807
Gp0452677	Metagenome	Permanent Draft	Gs0154244	Gb0240051	PRJEB42019	SAMEA7724347	ERX4811438|ERX4813471|ERX4812717|ERX4814258
Gp0619349	Targeted Gene Survey	incomplete	Gs0154244	Gb0240051	PRJEB42019	SAMEA7724347	ERX4804819|ERX4806474
Gp0619229	Targeted Gene Survey	incomplete	Gs0154244	Gb0240056	PRJEB42019	SAMEA7724212	ERX4804661|ERX4806388
Gp0452682	Metagenome	Permanent Draft	Gs0154244	Gb0240056	PRJEB42019	SAMEA7724212	ERX4813182|ERX4813969|ERX4812491|ERX4811212
Gp0619212	Targeted Gene Survey	incomplete	Gs0154244	Gb0240068	PRJEB42019	SAMEA7724195	ERX4806380|ERX4804644
Gp0452694	Metagenome	Permanent Draft	Gs0154244	Gb0240068	PRJEB42019	SAMEA7724195	ERX4813165|ERX4811195|ERX4813952|ERX4812474
Gp0619177	Targeted Gene Survey	incomplete	Gs0154244	Gb0240083	PRJEB42019	SAMEA7723926	ERX4807964|ERX4806993|ERX4804968|ERX4804190|ERX4805633|ERX4806027
Gp0452709	Metagenome	Permanent Draft	Gs0154244	Gb0240083	PRJEB42019	SAMEA7723926	ERX4813043|ERX4811183|ERX4813830|ERX4812462
Gp0452732	Metagenome	incomplete	Gs0154244	Gb0240106	PRJEB42019	SAMEA7724404	ERX4813007|ERX4813794
Gp0619353	Targeted Gene Survey	incomplete	Gs0154244	Gb0240106	PRJEB42019	SAMEA7724404	ERX4806307
Gp0619318	Targeted Gene Survey	incomplete	Gs0154244	Gb0239927	PRJEB42019	SAMEA7724306	ERX4804778
Gp0452553	Metagenome	Permanent Draft	Gs0154244	Gb0239927	PRJEB42019	SAMEA7724306	ERX4814155|ERX4813368|ERX4812630|ERX4811351
Gp0619823	Targeted Gene Survey	incomplete	Gs0154244	Gb0297401	PRJEB42019	SAMEA7723935	ERX4807776|ERX4804211|ERX4807051|ERX4806085|ERX4805654|ERX4805026
Gp0578346	Metagenome	incomplete	Gs0154244	Gb0297401	PRJEB42019	SAMEA7723935	ERX4813208|ERX4813995|ERX4811233|ERX4812512
Gp0619460	Targeted Gene Survey	incomplete	Gs0154244	Gb0297351	PRJEB42019	SAMEA7723509	ERX4807116|ERX4804283|ERX4809817|ERX4806151|ERX4807561|ERX4803930|ERX4805092|ERX4806604|ERX4805723|ERX4803498
Gp0577927	Metagenome	incomplete	Gs0154244	Gb0297351	PRJEB42019	SAMEA7723509	ERX4813372|ERX4812634|ERX4811355|ERX4814159
Gp0619820	Targeted Gene Survey	incomplete	Gs0154244	Gb0297398	PRJEB42019	SAMEA7723932	ERX4805023|ERX4805649|ERX4806082|ERX4804206|ERX4807048|ERX4809798
Gp0578343	Metagenome	incomplete	Gs0154244	Gb0297398	PRJEB42019	SAMEA7723932	ERX4811228|ERX4813990|ERX4812507|ERX4813203
Gp0619373	Targeted Gene Survey	incomplete	Gs0154244	Gb0297318	PRJEB42019	SAMEA7723404	ERX4804089|ERX4807458|ERX4806908|ERX4803393|ERX4803825|ERX4805945|ERX4804883|ERX4806501|ERX4809777|ERX4805533
Gp0577545	Metagenome	incomplete	Gs0154244	Gb0297318	PRJEB42019	SAMEA7723404	ERX4811060|ERX4812339|ERX4812909|ERX4813696
Gp0577557	Metagenome	incomplete	Gs0154244	Gb0297319	PRJEB42019	SAMEA7723405	ERX4812912|ERX4811063|ERX4813699|ERX4812342
Gp0619374	Targeted Gene Survey	incomplete	Gs0154244	Gb0297319	PRJEB42019	SAMEA7723405	ERX4807666|ERX4803394|ERX4807459|ERX4807855|ERX4803826|ERX4805947|ERX4804092|ERX4804885|ERX4806910|ERX4805535|ERX4806502
Gp0578366	Metagenome	incomplete	Gs0154244	Gb0297421	PRJEB42019	SAMEA7723961	ERX4813263|ERX4814050|ERX4811287|ERX4812566
Gp0619843	Targeted Gene Survey	incomplete	Gs0154244	Gb0297421	PRJEB42019	SAMEA7723961	ERX4804250|ERX4805692|ERX4807084|ERX4805060|ERX4806119|ERX4809810
Gp0578369	Metagenome	incomplete	Gs0154244	Gb0297424	PRJEB42019	SAMEA7723964	ERX4813273|ERX4811295|ERX4814060|ERX4812574
Gp0619846	Targeted Gene Survey	incomplete	Gs0154244	Gb0297424	PRJEB42019	SAMEA7723964	ERX4805068|ERX4807092|ERX4809813|ERX4804260|ERX4805702|ERX4806127
Gp0577809	Metagenome	incomplete	Gs0154244	Gb0297336	PRJEB42019	SAMEA7723482	ERX4814044|ERX4813257
Gp0619433	Targeted Gene Survey	incomplete	Gs0154244	Gb0297336	PRJEB42019	SAMEA7723482	ERX4807974|ERX4804244|ERX4807535|ERX4803471|ERX4805056|ERX4807081|ERX4803903|ERX4806578|ERX4805686|ERX4806115
Gp0578133	Metagenome	incomplete	Gs0154244	Gb0297368	PRJEB42019	SAMEA7723605	ERX4812913|ERX4811064|ERX4812343|ERX4813700
Gp0619556	Targeted Gene Survey	incomplete	Gs0154244	Gb0297368	PRJEB42019	SAMEA7723605	ERX4805265|ERX4807944|ERX4807281|ERX4804093|ERX4805536|ERX4803599|ERX4806699
