	has_enum_range	has_preferred_unit	name_components	quantity_value	range_of_slot	angstrom	atmosphere	beats per minute	cardinal direction	centimeter	cm^2)	colony forming units per gram of dry weight	colony forming units per milliliter	cp at degree celsius	cubic centimeter per cubic centimeter	cubic feet	cubic meter	cubic meter per day	cubic meter per minute	cubic meter per second	day	days	degree	degree celsius	degrees	degrees api	dpi	ergs per square centimeter per second	g	gram	gram carbon per kilogram sample material	gram of air	gram per cubic centimeter	gram per cubic meter	gram per gram	gram per kilogram soil	gram per liter	gram per square meter	gram per square meter per day	grams	gray	hour	hours	inch	joule per degree celsius	kilogram	kilogram of air	kilogram per kilogram	kilogram per metre square	kilogram per square meter	kilopascal	kilowatt per square metre	kilowatts per square meter per day	knots	liter	liter per hour	liters per second	lumens per square meter	lux	md	meter	meter per second	meter per square second	microeinstein per square centimeter per second	microeinstein per square meter per second	microgram	microgram per cubic meter	microgram per gram	microgram per liter	microliter	micrometer	micromole oxygen per liter per hour	micromole per kilogram	micromole per liter	millibar	milliequivalent per liter	milligram	milligram chlorophyll a per cubic meter	milligram per cubic meter	milligram per cubic meter per day	milligram per kilogram	milligram per liter	milliliter	millimeter	millimeter mercury	millimeter per year	millisiemens per centimeter	millivolt	mol m-2 s-1	mol per liter per hour	mole per liter	mole per liter per hour	nanogram per liter	nanometer	number of cells per gram (or ml	number of photons per second per unit area	part per million	parts per billion	parts per million	per day	per month	per week	percent	percentage	pound	practical salinity unit	rad	square centimeter	square feet	square meter	ton	volts	weeks	year	years	FWD:{ambiguous_nucleotides};REV:{ambiguous_nucleotides}	^({add_recov_methods});{date_time_stamp}$	^({termLabel} \[{termID}\])|{integer}$	^{PMID}|{DOI}|{URL}$	^{PMID}|{DOI}|{URL}|{text}$	^{adapter_A_DNA_sequence};{adapter_B_DNA_sequence}$	^{agrochemical_name};{amount} {unit};{date_time_stamp}$	^{ambiguous_nucleotides}$	^{boolean};(?:adverse event|non-compliance|lost to follow up|other)$	^{duration}$	^{float} *- *{float} {unit}$	^{float} days$	^{integer} {text}$	^{integer} {text}}$	^{integer}%\s*ANI;\s*{integer}%\s*AF;\s*{text}$	^{lat} {lon}$	^{name};{float} {unit}$	^{particulate_matter_name};{float} {unit}$	^{room_name};{room_number}$	^{scientific_float}( *- *{scientific_float})? *{text}$	^{software};{version};{parameters}$	^{termLabel} \[{termID}\]$	^{text} \[{NCBItaxon_id}\]$	^{text}: {text}, {text}$	^{text}|({termLabel} \[{termID}\])$	^{text}|{PMID}|{DOI}|{URL}$	acid	act	activ	add	admin	age	air	al	alkalinity	am	amp	animal	annual	antibiotic	appr	area	assembly	avg	bac	bin	biocide	biol	biomass	biotic	blood	body	build	built	carb	ceil	check	chem	class	clean	climate	collect	color	comp	compl	cond	condt	cons	cont	contact	contam	content	cool	count	cover	crop	cult	cur	data	date	db	deliv	dem	density	depth	device	dew	diet	dioxide	dis	disease	disord	diss	dna	door	dur	env	environment	equip	event	exp	ext	extr	fam	farm	feat	ferm	fertilizer	finish	floor	fluid	food	frac	freq	frict	fw	gaseous	genome	geo	geol	growth	hcr	health	heat	heavy	height	hist	horizon	host	humidity	id	ident	inc	indoor	info	infra	inorg	intended	iron	isol	kit	label	land	last	lib	life	light	link	lithology	loc	local	location	lysis	mass	mat	matter	mean	med	media	medium	metal	metals	meth	method	microb	mode	moisture	mold	month	name	nitro	nose	nucl	num	number	nutr	occup	of	org	orient	otu	out	oxy	oxygen	pH	pack	param	part	particles	pc	pcr	percent	ph	phosp	phosphate	photosynt	plant	point	porosity	pos	precpt	pred	prep	preserv	press	pressure	primary	proc	prod	product	qual	quality	rate	recover	ref	regm	rel	rep	result	room	root	route	salinity	samp	san	sat	sc	scale	score	screen	season	seq	sequencing	serovar	sex	shading	share	shared	site	six	size	slope	software	soil	soluble	sort	source	space	spec	specific	spikein	sr	stage	start	stat	state	status	stor	store	struc	study	subspecf	sulfate	surf	suspend	symbiont	syst	target	tax	taxid	tech	temp	texture	thermal	throat	time	tot	train	transmission	transport	trav	treat	treatment	tvdss	typ	type	urogenit	use	vegetation	vel	ventilation	vfa	vol	wall	water	weather	well	wga	wind	window	x16s	evidence_score	weighted_evidence_score
annot	False		1	False	string																																																																																																																																																																																																																																																																																																																																																																																																																												0	0.0
annual_precpt	False	True	2	True	string																																																																															True																																																			True																			True																																																																																																																																																																		True																																																																																																					5	2.5
annual_temp	False	True	2	True	string																			True																																																																																																															True																			True																																																																																																																																																																																																																																									True																														5	2.5
antibiotic_regm	False	True	2	False	string																																																																								True																																																																														True																																																																																																																																																																																True																																																																																						0	0.0
api	False	True	1	True	string																					True																																																																																																													True																																																																																																																																																																																																																																																																																										3	3.0
arch_struc	True		2	False	ArchStrucEnum																																																																																																																																																																																																																																																																																																																																																																																		True																																										-1	-0.5
area_samp_size	False	True	3	False	string					True																																																																																																																																																			True																																																																																																																																																																																						True																	True																																																													3	1.0
aromatics_pc	False	True	2	False	string																																																																																																		True																													True																																																																																																																																																																													True		True																																																																																																														0	0.0
asphaltenes_pc	False	True	2	False	string																																																																																																		True																													True																																																																																																																																																																													True		True																																																																																																														0	0.0
assembly_name	False		2	False	string																																																																																																																																																									True																																																																																																																															True																																																																																																																																				-1	-0.5
assembly_qual	True		2	False	AssemblyQualEnum																																																																																																																																																									True																																																																																																																																																																								True																																																																																											-2	-1.0
assembly_software	False		2	False	string																																																																																																																																			True																						True																																																																																																																																																																																																								True																																																											-2	-1.0
associated_resource	False		2	False	string																																																																																																																		True																																																																																																																																																																																																																																																																																																										-1	-0.5
association_duration	False	True	2	False	string																True																					True																																																																								True																					True																																																																																																																																																																																																																																																																																										2	1.0
atmospheric_data	False		2	False	string																																																																																																																																																																																													True																																																																																																																																																																																																																															-1	-0.5
avg_dew_point	False	True	3	True	string																			True																																																																																																															True																								True																																											True																																																																																																															True																																																																																																								5	1.6666666666666667
avg_occup	False		2	False	float																																																																																																																																																										True																																																																																																																																					True																																																																																																																													1	0.5
avg_temp	False	True	2	True	string																			True																																																																																																															True																								True																																																																																																																																																																																																																																				True																														5	2.5
bac_prod	False	True	2	True	string																																																																											True																																																							True																									True																																																																																																																																																																				True																																																																																													3	1.5
bac_resp	False	True	2	True	string																																																																			True								True																																																							True																									True																																																																																																																																																																																																																																																																	3	1.5
bacteria_carb_prod	False		3	True	string																																																																																																																																		True																																			True																																																																																																																																																										True																																																																																													2	0.6666666666666666
bacterial_density	False	True	2	False	string							True	True																																																																																																																										True																																																																True																																																																																																																																																																																																																										3	1.5
barometric_press	False	True	2	True	string																																																																						True																																																												True																																																																																																																																																																																									True																																																																																																	4	2.0
basin	False		1	False	string																																																																																																																																																																																																																																																																																																																																																																																																																												0	0.0
bathroom_count	False		2	False	integer																																																																																																																																																																																								True																																																																																																																																																																																																																																				0	0.0
bedroom_count	False		2	False	integer																																																																																																																																																																																								True																																																																																																																																																																																																																																				0	0.0
benzene	False	True	1	True	string																																																																													True																	True																																				True																																																																																																																																																																																																																																																																																										3	3.0
bin_param	True		2	False	BinParamEnum																																																																																																																																																												True																																																																																																																																													True																																																																																																																			-2	-1.0
bin_software	False		2	False	string																																																																																																																																																												True																																																																																																																																																																																																					True																																																											-1	-0.5
biochem_oxygen_dem	False	True	3	True	string																																																																													True																																																					True																																																															True																																																																																																					True																																																																																																																						4	1.3333333333333333
biocide	False		1	False	string																																																																																																																																																													True																																																																																																																																																																																																																																																															0	0.0
biocide_admin_method	False	True	3	False	string																																																																													True																																																																True																True																																																																																																																					True																																																																																																																																										0	0.0
biocide_used	False		2	False	string																																																																																																																																																													True																																																																																																																																																																																																																																																															0	0.0
biol_stat	True		2	False	BiolStatEnum																																																																																																																																																														True																																																																																																																																																																																																															True																																															-2	-1.0
biomass	False	True	1	False	string																									True																True																																																																	True																																																					True																																																																																																																																																																																																																																																													1	1.0
biotic_regm	False		2	False	string																																																																																																																																																																True																																																																																																																																																																						True																																																																																						-1	-0.5
biotic_relationship	True		2	False	BioticRelationshipEnum																																																																																																																																																																True																																																																																																																																																																																																																																																												-1	-0.5
birth_control	False		2	False	string																																																																																																																																																																																																																																																																																																																																																																																																																												0	0.0
bishomohopanol	False	True	1	True	string																																																															True	True																																																																		True																																																																																																																																																																																																																																																																																										3	3.0
blood_blood_disord	False		3	False	string																																																																																																																																																																	True																																									True																																																																																																																																																																																																																		-1	-0.3333333333333333
blood_press_diast	False	True	3	True	string																																																																																True																																																		True																															True																																																																																																																																																										True																																																																																																	4	1.3333333333333333
blood_press_syst	False	True	3	True	string																																																																																True																																																		True																															True																																																																																																																																																										True																																																														True																																			4	1.3333333333333333
bromide	False	True	1	True	string																																																																																														True																																				True																																																																																																																																																																																																																																																																																										3	3.0
build_docs	True		2	False	BuildDocsEnum																																																																																																																																																																			True																																																																																																																																																																																																																																																									-1	-0.5
build_occup_type	True		3	False	BuildOccupTypeEnum																																																																																																																																																																			True																																																																																																																												True																																																																																																													True																-2	-0.6666666666666666
building_setting	True		2	False	BuildingSettingEnum																																																																																																																																																																																																																																																																																																																																																																																																																												-1	-0.5
built_struc_age	False	True	3	True	string																																																																																																													True																					True												True																						True																																																																																																																																																																																																														True																																										4	1.3333333333333333
built_struc_set	True		3	False	BuiltStrucSetEnum																																																																																																																																																																				True																																																																																																																																																																																																														True																																										-1	-0.3333333333333333
