class	slot	rank
Agriculture	adapters	
Agriculture	adjacent_environment	
Agriculture	agrochem_addition	
Agriculture	ances_data	
Agriculture	anim_water_method	
Agriculture	annot	
Agriculture	annual_precpt	
Agriculture	annual_temp	
Agriculture	assembly_name	
Agriculture	assembly_qual	
Agriculture	assembly_software	
Agriculture	associated_resource	
Agriculture	biotic_relationship	
Agriculture	chem_administration	
Agriculture	chimera_check	
Agriculture	climate_environment	
Agriculture	crop_rotation	
Agriculture	crop_yield	
Agriculture	cult_isol_date	
Agriculture	cur_land_use	
Agriculture	cur_vegetation	
Agriculture	cur_vegetation_meth	
Agriculture	depth	
Agriculture	drainage_class	
Agriculture	elev	
Agriculture	enrichment_protocol	
Agriculture	extreme_event	
Agriculture	fao_class	
Agriculture	farm_equip	
Agriculture	farm_equip_san	
Agriculture	farm_equip_shared	
Agriculture	farm_water_source	
Agriculture	fertilizer_admin	
Agriculture	fire	
Agriculture	flooding	
Agriculture	food_harvest_proc	
Agriculture	food_prod	
Agriculture	food_product_type	
Agriculture	food_source	
Agriculture	food_trav_mode	
Agriculture	food_trav_vehic	
Agriculture	fungicide_regm	
Agriculture	gaseous_environment	
Agriculture	genetic_mod	
Agriculture	heavy_metals_meth	
Agriculture	herbicide_regm	
Agriculture	horizon_meth	
Agriculture	host_age	
Agriculture	host_common_name	
Agriculture	host_disease_stat	
Agriculture	host_dry_mass	
Agriculture	host_genotype	
Agriculture	host_height	
Agriculture	host_length	
Agriculture	host_life_stage	
Agriculture	host_phenotype	
Agriculture	host_spec_range	
Agriculture	host_subspecf_genlin	
Agriculture	host_symbiont	
Agriculture	host_taxid	
Agriculture	host_tot_mass	
Agriculture	humidity	
Agriculture	isol_growth_condt	
Agriculture	lib_layout	
Agriculture	lib_reads_seqd	
Agriculture	lib_screen	
Agriculture	lib_size	
Agriculture	lib_vector	
Agriculture	library_prep_kit	
Agriculture	link_class_info	
Agriculture	link_climate_info	
Agriculture	local_class	
Agriculture	local_class_meth	
Agriculture	lot_number	
Agriculture	micro_biomass_meth	
Agriculture	microbial_biomass	
Agriculture	mid	
Agriculture	misc_param	
Agriculture	non_min_nutr_regm	
Agriculture	nucl_acid_amp	
Agriculture	nucl_acid_ext	
Agriculture	organism_count	
Agriculture	oxy_stat_samp	
Agriculture	pathogenicity	
Agriculture	pcr_cond	
Agriculture	pcr_primers	
Agriculture	perturbation	
Agriculture	pesticide_regm	
Agriculture	ph_meth	
Agriculture	ph_regm	
Agriculture	photosynt_activ	
Agriculture	photosynt_activ_meth	
Agriculture	plant_growth_med	
Agriculture	plant_product	
Agriculture	plant_struc	
Agriculture	plant_water_method	
Agriculture	pool_dna_extracts	
Agriculture	porosity	
Agriculture	pres_animal_insect	
Agriculture	prev_land_use_meth	
Agriculture	previous_land_use	
Agriculture	profile_position	
Agriculture	rel_location	
Agriculture	root_med_carbon	
Agriculture	root_med_macronutr	
Agriculture	root_med_ph	
Agriculture	salt_regm	
Agriculture	samp_collect_device	
Agriculture	samp_collect_method	
Agriculture	samp_mat_process	
Agriculture	samp_pooling	
Agriculture	samp_size	
Agriculture	samp_store_dur	
Agriculture	samp_store_loc	
Agriculture	samp_store_temp	
Agriculture	samp_vol_we_dna_ext	
Agriculture	season	
Agriculture	season_environment	
Agriculture	season_humidity	
Agriculture	season_precpt	
Agriculture	season_temp	
Agriculture	seq_meth	
Agriculture	seq_quality_check	
Agriculture	sequencing_location	
Agriculture	sieving	
Agriculture	size_frac_low	
Agriculture	size_frac_up	
Agriculture	slope_aspect	
Agriculture	slope_gradient	
Agriculture	soil_conductivity	
Agriculture	soil_cover	
Agriculture	soil_horizon	
Agriculture	soil_pH	
Agriculture	soil_temp	
Agriculture	soil_texture	
Agriculture	soil_texture_meth	
Agriculture	soil_type	
Agriculture	soil_type_meth	
Agriculture	solar_irradiance	
Agriculture	sop	
Agriculture	source_mat_id	
Agriculture	specific_host	
Agriculture	spikein_strain	
Agriculture	standing_water_regm	
Agriculture	store_cond	
Agriculture	target_gene	
Agriculture	target_subfragment	
Agriculture	temp	
Agriculture	tillage	
Agriculture	tot_carb	
Agriculture	tot_nitro_cont_meth	
Agriculture	tot_nitro_content	
Agriculture	tot_org_c_meth	
Agriculture	tot_org_carb	
Agriculture	tot_phosphate	
Agriculture	trophic_level	
Agriculture	water_pH	
Agriculture	water_source_shared	
Agriculture	water_temp_regm	
Agriculture	watering_regm	
Air	air_PM_concen	
Air	alt	
Air	barometric_press	
Air	carb_dioxide	
Air	carb_monoxide	
Air	chem_administration	
Air	elev	
Air	humidity	
