Entry	DOI	Filename	Similarity Score
1	10.1128/mSystems.00045-18	blair-et-al-2018-exploration-of-the-biosynthetic-potential-of-the-populus-microbiome.pdf	0.9483771742073844
2	10.1101/2022.12.12.520098	2022.12.12.520098v2.full.pdf	0.1613085476645046
3	10.1038/s41564-022-01266-x	s41564-022-01266-x.pdf	0.18754322503199436
4	10.1111/1462-2920.16314	blair-et-al-2018-exploration-of-the-biosynthetic-potential-of-the-populus-microbiome.pdf	0.08341011040099952
5	10.1111/mec.16891	file.pdf	0.09815363687444476
6	10.1021/acs.estlett.0c00748	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.pdf	0.06762994507746582
7	10.1128/msystems.00768-19	alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.pdf	0.9999999999999997
8	10.1371/journal.pone.0228165	file.pdf	1.0000000000000002
9	10.1016/j.geoderma.2021.115674	1-s2.0-S0016706121007540-main.pdf	0.5111866251436159
10	10.1029/2022JG006889	1-s2.0-S0016706121007540-main.pdf	0.2327257061898408
11	10.1002/ppp.2200	1-s2.0-S0016706121007540-main.pdf	0.18737549663237035
12	10.1038/s41467-023-36515-y	s41467-023-36515-y.pdf	0.649400863746481
13	10.1002/lno.11306	s41597-019-0132-4.pdf	0.07447155604611183
14	10.1038/s41597-024-03069-7	s41597-024-03069-7.pdf	0.4358473923971381
15	10.1038/s41564-020-00861-0	s41564-020-00861-0.pdf	0.6038276860226423
16	10.1128/MRA.01361-19	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.pdf	1.0
17	10.1128/mra.01080-23	nguyen-et-al-2024-metatranscriptomes-of-two-biological-soil-crust-types-from-the-mojave-desert-in-response-to-wetting.pdf	1.0000000000000007
18	10.1038/s41597-019-0132-4	bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.pdf	0.45378102846480034
19	10.1038/s41597-024-04013-5	s41597-024-04013-5.pdf	0.515896013078529
20	10.1186/s40168-020-00889-8	s40168-020-00889-8.pdf	0.5482774276634735
21	10.1093/nar/gkab990	acp-23-15783-2023.pdf	0.0
22	10.1126/sciadv.adg7888	s41564-022-01266-x.pdf	0.05886953992140002
23	10.1371/journal.pone.0228165	file.pdf	1.0000000000000002
24	10.3390/microorganisms9020357	microorganisms-09-00357-v2.pdf	0.9946635990893474
25	10.3897/tdwgproceedings.1.20637	s41597-024-03069-7.pdf	0.08763572117592555
26	10.5194/acp-23-15783-2023	2022.12.12.520098v2.full.pdf	0.09491450465464481
