DOI	Updated DOI	Title	Journal	Year	Year Type	Publisher	Authors	Volume	Issue	Pages	DOI URL
10.1128/mSystems.00045-18		"Exploration of the Biosynthetic Potential of the
            <i>Populus</i>
            Microbiome"	mSystems	2018	published-print	American Society for Microbiology	Patricia M. Blair; Miriam L. Land; Marek J. Piatek; Daniel A. Jacobson; Tse-Yuan S. Lu; Mitchel J. Doktycz; Dale A. Pelletier	3	5		https://doi.org/10.1128/msystems.00045-18
10.1101/2022.12.12.520098	10.3389/fsoil.2023.1120425	One thousand soils for molecular understanding of belowground carbon cycling	Frontiers in Soil Science	2023	published	Frontiers Media SA	Maggie M. Bowman; Alexis E. Heath; Tamas Varga; Anil K. Battu; Rosalie K. Chu; Jason Toyoda; Tanya E. Cheeke; Stephanie S. Porter; Kevan B. Moffett; Brittany LeTendre; Odeta Qafoku; John R. Bargar; Douglas M. Mans; Nancy J. Hess; Emily B. Graham	3			https://doi.org/10.3389/fsoil.2023.1120425
10.1038/s41564-022-01266-x		Standardized multi-omics of Earth’s microbiomes reveals microbial and metabolite diversity	Nature Microbiology	2022	published	Springer Science and Business Media LLC	Justin P. Shaffer; Louis-Félix Nothias; Luke R. Thompson; Jon G. Sanders; Rodolfo A. Salido; Sneha P. Couvillion; Asker D. Brejnrod; Franck Lejzerowicz; Niina Haiminen; Shi Huang; Holly L. Lutz; Qiyun Zhu; Cameron Martino; James T. Morton; Smruthi Karthikeyan; Mélissa Nothias-Esposito; Kai Dührkop; Sebastian Böcker; Hyun Woo Kim; Alexander A. Aksenov; Wout Bittremieux; Jeremiah J. Minich; Clarisse Marotz; MacKenzie M. Bryant; Karenina Sanders; Tara Schwartz; Greg Humphrey; Yoshiki Vásquez-Baeza; Anupriya Tripathi; Laxmi Parida; Anna Paola Carrieri; Kristen L. Beck; Promi Das; Antonio González; Daniel McDonald; Joshua Ladau; Søren M. Karst; Mads Albertsen; Gail Ackermann; Jeff DeReus; Torsten Thomas; Daniel Petras; Ashley Shade; James Stegen; Se Jin Song; Thomas O. Metz; Austin D. Swafford; Pieter C. Dorrestein; Janet K. Jansson; Jack A. Gilbert; Rob Knight;  ; Lars T. Angenant; Alison M. Berry; Leonora S. Bittleston; Jennifer L. Bowen; Max Chavarría; Don A. Cowan; Dan Distel; Peter R. Girguis; Jaime Huerta-Cepas; Paul R. Jensen; Lingjing Jiang; Gary M. King; Anton Lavrinienko; Aurora MacRae-Crerar; Thulani P. Makhalanyane; Tapio Mappes; Ezequiel M. Marzinelli; Gregory Mayer; Katherine D. McMahon; Jessica L. Metcalf; Sou Miyake; Timothy A. Mousseau; Catalina Murillo-Cruz; David Myrold; Brian Palenik; Adrián A. Pinto-Tomás; Dorota L. Porazinska; Jean-Baptiste Ramond; Forest Rowher; Taniya RoyChowdhury; Stuart A. Sandin; Steven K. Schmidt; Henning Seedorf; Ashley Shade; J. Reuben Shipway; Jennifer E. Smith; James Stegen; Frank J. Stewart; Karen Tait; Torsten Thomas; Yael Tucker; Jana M. U’Ren; Phillip C. Watts; Nicole S. Webster; Jesse R. Zaneveld; Shan Zhang	7	12	2128-2150	https://doi.org/10.1038/s41564-022-01266-x
10.1111/1462-2920.16314		Environmental predictors of electroactive bacterioplankton in small boreal lakes	Environmental Microbiology	2023	published-print	Wiley	Charles N. Olmsted; Roger Ort; Patricia Q. Tran; Elizabeth A. McDaniel; Eric E. Roden; Daniel R. Bond; Shaomei He; Katherine D. McMahon	25	3	705-720	https://doi.org/10.1111/1462-2920.16314
10.1111/mec.16891		Diversity, distribution, and expression of opsin genes in freshwater lakes	Molecular Ecology	2023	published-print	Wiley	Shaomei He; Alexandra M. Linz; Sarah L. R. Stevens; Patricia Q. Tran; Francisco Moya‐Flores; Ben O. Oyserman; Jeffrey R. Dwulit‐Smith; Katrina T. Forest; Katherine D. McMahon	32	11	2798-2817	https://doi.org/10.1111/mec.16891
10.1021/acs.estlett.0c00748		Long-Term Warming Decreases Redox Capacity of Soil Organic Matter	Environmental Science &amp; Technology Letters	2021	published-print	American Chemical Society (ACS)	Rachelle E. LaCroix; Nicolas Walpen; Michael Sander; Malak M. Tfaily; Jeffrey L. Blanchard; Marco Keiluweit	8	1	92-97	https://doi.org/10.1021/acs.estlett.0c00748
10.1128/msystems.00768-19		Complementary Metagenomic Approaches Improve Reconstruction of Microbial Diversity in a Forest Soil	mSystems	2020	published-print	American Society for Microbiology	L. V. Alteio; F. Schulz; R. Seshadri; N. Varghese; W. Rodriguez-Reillo; E. Ryan; D. Goudeau; S. A. Eichorst; R. R. Malmstrom; R. M. Bowers; L. A. Katz; J. L. Blanchard; T. Woyke	5	2		https://doi.org/10.1128/msystems.00768-19
10.1371/journal.pone.0228165		Distinct temporal diversity profiles for nitrogen cycling genes in a hyporheic microbiome	PLOS ONE	2020	published	Public Library of Science (PLoS)	William C. Nelson; Emily B. Graham; Alex R. Crump; Sarah J. Fansler; Evan V. Arntzen; David W. Kennedy; James C. Stegen	15	1	e0228165	https://doi.org/10.1371/journal.pone.0228165
10.1016/j.geoderma.2021.115674		Soil pore network response to freeze-thaw cycles in permafrost aggregates	Geoderma	2022	published-print	Elsevier BV	Erin C. Rooney; Vanessa L. Bailey; Kaizad F. Patel; Maria Dragila; Anil K. Battu; Alexander C. Buchko; Adrian C. Gallo; Jeffery Hatten; Angela R. Possinger; Odeta Qafoku; Loren.R. Reno; Michael SanClements; Tamas Varga; Rebecca A. Lybrand	411		115674	https://doi.org/10.1016/j.geoderma.2021.115674
10.1029/2022JG006889		The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw Cycles	Journal of Geophysical Research: Biogeosciences	2022	published-print	American Geophysical Union (AGU)	Erin C. Rooney; Vanessa L. Bailey; Kaizad F. Patel; Angela R. Possinger; Adrian C. Gallo; Maya Bergmann; Michael SanClements; Rebecca A. Lybrand	127	5		https://doi.org/10.1029/2022jg006889
10.1002/ppp.2200		Topography and canopy cover influence soil organic carbon composition and distribution across a forested hillslope in the discontinuous permafrost zone	Permafrost and Periglacial Processes	2023	published-print	Wiley	Erin C. Rooney; Vanessa L. Bailey; Kaizad F. Patel; Alexander Kholodov; Holly Golightly; Rebecca A. Lybrand	34	3	331-358	https://doi.org/10.1002/ppp.2200
10.1038/s41467-023-36515-y		Seasonal activities of the phyllosphere microbiome of perennial crops	Nature Communications	2023	published	Springer Science and Business Media LLC	Adina Howe; Nejc Stopnisek; Shane K. Dooley; Fan Yang; Keara L. Grady; Ashley Shade	14	1		https://doi.org/10.1038/s41467-023-36515-y
10.1002/lno.11306		Time‐series metatranscriptomes reveal conserved patterns between phototrophic and heterotrophic microbes in diverse freshwater systems	Limnology and Oceanography	2020	published-print	Wiley	Alexandra M. Linz; Frank O. Aylward; Stefan Bertilsson; Katherine D. McMahon	65	S1		https://doi.org/10.1002/lno.11306
