accession,ENA first public,ENA last update,ENA-CHECKLIST,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,alpha_shotgun_woltka_min10k_richness,alpha_shotgun_woltka_rar10k_richness,alpha_shotgun_woltka_rar3450_richness,collection_timestamp,cur_land_use,cur_vegetation,depth_sample,elevation,emp500_principal_investigator,emp500_study_id,emp500_title,empo_2,empo_3,env biome,env feature,env package,env_material,environmental_package,experimental_factor,gcms_sample_name,geo loc name,latitude,lcms_batch,lcms_extraction_protocol,local_class,longitude,physical_specimen_location,project name,sample name,sample type,sampling method,scientific_name,soil type,store_cond,study_sample_number,tier,water content,water_content_soil_meth
SAMEA7724195,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724195,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:23:59Z,public,qiita_sid_13114:13114.myrold.5.s001,719.0,504.0,255.0,12/15/15 0:00,forest,Douglas-fir,0.15,286,Myrold,5,Tree-associated soils,Non-saline,Soil (non-saline),temperate coniferous forest biome,temperate coniferous forest,soil,soil,soil,"Two sites (low, high soil N) by two tree species (Douglas-fir, red alder) in three replicate blocks per site",,"USA: State of Oregon,Tillamook County",45.046708,,,,-123.895233,UCSD Knight Lab Freezer I and David Myrold Lab,Alder-Fir Study,qiita_sid_13114:13114.myrold.5.s001,soil,bulk,,,-80,1,,1.2109,gravimetric
SAMEA7724196,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724196,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:23:59Z,public,qiita_sid_13114:13114.myrold.5.s002,861.0,493.0,252.0,12/15/15 0:00,forest,Douglas-fir,0.15,311,Myrold,5,Tree-associated soils,Non-saline,Soil (non-saline),temperate coniferous forest biome,temperate coniferous forest,soil,soil,soil,"Two sites (low, high soil N) by two tree species (Douglas-fir, red alder) in three replicate blocks per site",,"USA: State of Oregon,Tillamook County",45.044492,,,,-123.893006,UCSD Knight Lab Freezer I and David Myrold Lab,Alder-Fir Study,qiita_sid_13114:13114.myrold.5.s002,soil,bulk,,,-80,2,,0.9845,gravimetric
SAMEA7724197,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724197,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:23:59Z,public,qiita_sid_13114:13114.myrold.5.s003,1451.0,476.0,242.0,12/15/15 0:00,forest,Douglas-fir,0.15,313,Myrold,5,Tree-associated soils,Non-saline,Soil (non-saline),temperate coniferous forest biome,temperate coniferous forest,soil,soil,soil,"Two sites (low, high soil N) by two tree species (Douglas-fir, red alder) in three replicate blocks per site",,"USA: State of Oregon,Tillamook County",45.0437,,,,-123.894378,UCSD Knight Lab Freezer I and David Myrold Lab,Alder-Fir Study,qiita_sid_13114:13114.myrold.5.s003,soil,bulk,,,-80,3,,0.7961,gravimetric
SAMEA7724198,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724198,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:23:59Z,public,qiita_sid_13114:13114.myrold.5.s004,868.0,649.0,348.0,12/15/15 0:00,forest,Red alder,0.15,313,Myrold,5,Tree-associated soils,Non-saline,Soil (non-saline),temperate coniferous forest biome,temperate coniferous forest,soil,soil,soil,"Two sites (low, high soil N) by two tree species (Douglas-fir, red alder) in three replicate blocks per site",,"USA: State of Oregon,Tillamook County",45.046103,,,,-123.895811,UCSD Knight Lab Freezer I and David Myrold Lab,Alder-Fir Study,qiita_sid_13114:13114.myrold.5.s004,soil,bulk,,,-80,4,,2.0964,gravimetric
SAMEA7724199,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724199,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:23:59Z,public,qiita_sid_13114:13114.myrold.5.s005,869.0,626.0,347.0,12/15/15 0:00,forest,Red alder,0.15,305,Myrold,5,Tree-associated soils,Non-saline,Soil (non-saline),temperate coniferous forest biome,temperate coniferous forest,soil,soil,soil,"Two sites (low, high soil N) by two tree species (Douglas-fir, red alder) in three replicate blocks per site",,"USA: State of Oregon,Tillamook County",45.045375,,,,-123.893619,UCSD Knight Lab Freezer I and David Myrold Lab,Alder-Fir Study,qiita_sid_13114:13114.myrold.5.s005,soil,bulk,,,-80,5,,1.704,gravimetric
SAMEA7724200,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724200,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:23:59Z,public,qiita_sid_13114:13114.myrold.5.s006,893.0,555.0,308.0,12/15/15 0:00,forest,Red alder,0.15,322,Myrold,5,Tree-associated soils,Non-saline,Soil (non-saline),temperate coniferous forest biome,temperate coniferous forest,soil,soil,soil,"Two sites (low, high soil N) by two tree species (Douglas-fir, red alder) in three replicate blocks per site",,"USA: State of Oregon,Tillamook County",45.044433,,,,-123.894908,UCSD Knight Lab Freezer I and David Myrold Lab,Alder-Fir Study,qiita_sid_13114:13114.myrold.5.s006,soil,bulk,,,-80,6,,1.5223,gravimetric
SAMEA7724201,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724201,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:23:59Z,public,qiita_sid_13114:13114.myrold.5.s007,1076.0,459.0,257.0,11/11/15 0:00,forest,Douglas-fir,0.15,641,Myrold,5,Tree-associated soils,Non-saline,Soil (non-saline),temperate coniferous forest biome,temperate coniferous forest,soil,soil,soil,"Two sites (low, high soil N) by two tree species (Douglas-fir, red alder) in three replicate blocks per site",,"USA: State of Oregon,Lane County",44.230317,,,,-122.191222,UCSD Knight Lab Freezer I and David Myrold Lab,Alder-Fir Study,qiita_sid_13114:13114.myrold.5.s007,soil,bulk,,,-80,7,,0.5692,gravimetric
SAMEA7724202,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724202,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:23:59Z,public,qiita_sid_13114:13114.myrold.5.s008,1606.0,445.0,224.0,11/11/15 0:00,forest,Douglas-fir,0.15,662,Myrold,5,Tree-associated soils,Non-saline,Soil (non-saline),temperate coniferous forest biome,temperate coniferous forest,soil,soil,soil,"Two sites (low, high soil N) by two tree species (Douglas-fir, red alder) in three replicate blocks per site",,"USA: State of Oregon,Lane County",44.229294,,,,-122.191167,UCSD Knight Lab Freezer I and David Myrold Lab,Alder-Fir Study,qiita_sid_13114:13114.myrold.5.s008,soil,bulk,,,-80,8,,0.7353,gravimetric
SAMEA7724203,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724203,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:23:59Z,public,qiita_sid_13114:13114.myrold.5.s009,935.0,440.0,238.0,11/11/15 0:00,forest,Douglas-fir,0.15,760,Myrold,5,Tree-associated soils,Non-saline,Soil (non-saline),temperate coniferous forest biome,temperate coniferous forest,soil,soil,soil,"Two sites (low, high soil N) by two tree species (Douglas-fir, red alder) in three replicate blocks per site",,"USA: State of Oregon,Lane County",44.226658,,,,-122.163778,UCSD Knight Lab Freezer I and David Myrold Lab,Alder-Fir Study,qiita_sid_13114:13114.myrold.5.s009,soil,bulk,,,-80,9,,0.6717,gravimetric
SAMEA7724204,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724204,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:23:59Z,public,qiita_sid_13114:13114.myrold.5.s010,816.0,523.0,327.0,11/11/15 0:00,forest,Red alder,0.15,637,Myrold,5,Tree-associated soils,Non-saline,Soil (non-saline),temperate coniferous forest biome,temperate coniferous forest,soil,soil,soil,"Two sites (low, high soil N) by two tree species (Douglas-fir, red alder) in three replicate blocks per site",,"USA: State of Oregon,Lane County",44.230556,,,,-122.191464,UCSD Knight Lab Freezer I and David Myrold Lab,Alder-Fir Study,qiita_sid_13114:13114.myrold.5.s010,soil,bulk,,,-80,10,,0.6048,gravimetric
