Number	Item	Present in the manuscript? Yes/No/NA	Comments or location in manuscript.1
1.0	Structured or unstructured abstract	Yes	Contains structured abstract with background, methods, results, conclusions and significance, p.1149
1.1	Study design	Yes	Abstract states "utilized fabricated ecosystem (EcoFAB) devices to grow the model grass Brachypodium distachyon in three distinct media across four laboratories", p.1149
1.2	Environmental & sample information	Yes	Abstract describes three media conditions studied: "phosphate-sufficient and -deficient mineral media" and "complex, sterile soil extract", p.1149
1.3	Host information (if applicable)	Yes	Abstract specifies use of model grass Brachypodium distachyon, p.1149
1.4	Experiments & omics methods	Yes	Abstract mentions metabolic profiles, tissue weight and phosphate content measurements, p.1149
1.5	Analyses & results	Yes	Abstract reports key findings: consistent measurements across labs, distinct profiles between treatments, and depletion of metabolites, p.1149
2.0	Background & rationale	Yes	Introduction provides detailed background on plant-soil interactions and challenges in studying them, pp.1149-1150
2.1	Hypotheses or questions	Yes	States hypothesis: "We hypothesized that the use of the EcoFAB system produces data reproducible across laboratories, and that B. distachyon grown in the various media would result in distinct metabolic and morphological changes." p.1152
3.0	Study design	Yes	Detailed experimental design described in Methods section including observational measurements and treatments, pp.1150-1152
3.1	Samples	Yes	Describes sample types including root tissue, shoot tissue, and exudates, p.1151
3.2	Environmental context & geographic location	Yes	Laboratory conditions detailed including light/dark cycles, temperature, and growth chamber specifications, p.1151
3.3	Relevant dates	No	Specific dates of experiment not provided
3.4	Host(s) (if applicable)	Yes	B. distachyon Bd21-3 strain specified with citation, p.1150
3.5	Ethics	NA	Not applicable for plant study
3.6	Environmental conditions & experimental treatments	Yes	Growth conditions and media compositions detailed in Methods, pp.1150-1151
3.7	Sample collection	Yes	Sample collection procedures described for tissue and exudates, p.1151
3.8	Eligibility/selection criteria	Yes	Reports selection of seedlings of comparable size distributed randomly to EcoFABs, p.1151
3.9	Analytic sample size	Yes	Reports quadruplicate samples for each condition, p.1151
4.0	Storage & preservation	Yes	Describes freezing of samples at -80°C, p.1152
4.1	Shipping	Yes	Mentions shipping of samples to laboratory 1 for analysis, p.1152
4.2	Extraction methods	Yes	Details metabolite extraction methods, p.1152
4.3	Experiments & sample processing	Yes	Sample processing methods detailed including homogenization and extraction, p.1152
4.4	Library preparation	NA	Not applicable - no sequencing performed
4.5	Depletion, enrichment, & multiplexing	NA	Not applicable - no sequencing performed
4.6	Primer selection	NA	Not applicable - no sequencing performed
5.0	Positive controls	Yes	Control EcoFABs without plants described, p.1151
5.1	Negative controls	Yes	Control EcoFABs without plants and sterility monitoring described, p.1151
6.0	Quantification & quality assessments	Yes	Details LC-MS quality control methods and standards, p.1152
6.1	Contaminant mitigation & identification	Yes	Reports monitoring of sterility and exclusion of contaminated chambers, p.1151
6.2	Replication	Yes	Reports quadruplicate biological replicates, p.1151
6.3	Sequencing methods	NA	Not applicable - no sequencing performed
6.4	Metabolomics, metaproteomics, & other omics methods	Yes	Detailed LC-MS methods provided, pp.1152-1153
6.5	Contextual & linked datasets	Yes	Root imaging and phosphate content measurements described alongside metabolomics data, pp.1151-1152
6.6	Batch effects	Yes	Discusses interlaboratory variation and standardization efforts, p.1155
7.0	Bioinformatics analyses	Yes	Metabolite identification and statistical analysis methods detailed, pp.1152-1153
7.1	Quality control	Yes	Describes QC samples, standards, and data filtering, p.1152
7.2	Normalization	Yes	Details normalization of metabolite peak heights, p.1152
7.3	Database information	Yes	References Metabolite Atlas and standards library, p.1152
7.4	Statistical methods	Yes	Details statistical analyses including PCA, clustering, and ANOVA, pp.1152-1153
7.5	Missing data	No	No explicit discussion of missing data handling
7.6	Bias & confounding variables	Yes	Discusses potential sources of variation between laboratories, p.1155
7.7	Subgroup analysis	Yes	Reports analysis by experimental condition and laboratory, p.1155
7.8	Sensitivity analyses	No	No explicit sensitivity analyses reported
7.9	Criteria for significance	Yes	Reports use of ANOVA with α=0.05, p.1153
8.0	Metadata access	Yes	Supporting information tables described, p.1160
8.1	Host data access (if applicable)	Yes	References B. distachyon strain and citation, p.1150
8.2	Raw data access	Yes	Supplementary data tables referenced, p.1160
8.3	Processed data access	Yes	Processed data provided in supplementary tables, p.1160
8.4	Software & source code access	Yes	Analysis software and versions specified, p.1152
8.5	Reproducible research	Yes	Detailed methods provided for reproducibility, extensive protocol sharing between labs described
9.0	Descriptive data	Yes	Characteristics of samples and experimental conditions reported throughout Results
10.0	Microbiome sequencing data	NA	Not applicable - no microbiome sequencing performed
10.1	Metabolomics, proteomics, & other omics data	Yes	Comprehensive metabolomics results reported, pp.1153-1157
10.2	Statistical analyses	Yes	Statistical analysis results reported throughout Results section
10.3	Figures, tables, & captions	Yes	Multiple clear figures with detailed captions provided
11.0	Key results	Yes	Key findings summarized in relation to objectives, pp.1157-1158
11.1	Interpretation	Yes	Results interpreted in context of plant biology and methodology, pp.1157-1159
11.2	Limitations	Yes	Discusses limitations of experimental setup, p.1158
11.3	Generalizability	Yes	Discusses applicability to other plant-environment interaction studies, p.1159
12.0	Ongoing & future work	Yes	Future research directions discussed, p.1159
13.0	Conclusions	Yes	Clear conclusions provided about reproducibility and plant responses, p.1159
14.0	Acknowledgements	Yes	Detailed acknowledgements including funding sources, p.1158
14.1	Funding	Yes	Funding sources and award information provided, p.1158
15.0	Conflicts of interest	No	No explicit conflicts of interest statement provided
16.0	Supplementary data & files	Yes	Supporting information described, p.1160
17.0	Sample & data availability	Yes	Availability of supplementary data stated, p.1160
18.0	AI usage	No	No mention of AI usage (article predates widespread AI use)
