biosampleGoldId	ecosystemPathId	ecosystem	ecosystemCategory	ecosystemType	ecosystemSubtype	specificEcosystem	envoBroadScale	envoLocalScale	envoMedium	biosampleName	ncbiTaxId	ncbiTaxName	sampleCollectionSite	geographicLocation	latitude	longitude	dateCollected	description	elevationInMeters	geoLocation	habitat	isoCountry	modDate	addDate
Gb0290974	4212	Environmental	Terrestrial	Soil	Unclassified	Unclassified				Soil microbial communities from Los Alamos National Laboratory, New Mexico, USA - S17_C_D45 hydrophilic	410658	soil metagenome	sand/litter microcosm incubated at 25C	USA: New Mexico	35.88	-106.3031	2020-07-28	Soil microbial communities from Los Alamos National Laboratory, New Mexico, USA; hydrophilic model soil created from clay/sand mixtures with sterile, ground pine litter as a carbon/nitrogen source was inoculated with microbial communities from soils from the southwestern United States and incubated at 25C	7	USA: New Mexico	Soil	USA	2022-09-04	2021-04-17
Gb0290993	4212	Environmental	Terrestrial	Soil	Unclassified	Unclassified				Soil microbial communities from Los Alamos National Laboratory, New Mexico, USA - S53_A_D45 hydrophobic	410658	soil metagenome	sand/litter microcosm incubated at 25C	USA: New Mexico	35.88	-106.3031	2020-07-28	Soil microbial communities from Los Alamos National Laboratory, New Mexico, USA; hydrophobic model soil created from clay/sand mixtures with sterile, ground pine litter as a carbon/nitrogen source was inoculated with microbial communities from soils from the southwestern United States and incubated at 25C	7	USA: New Mexico	Soil	USA	2022-09-04	2021-04-17
Gb0290998	4212	Environmental	Terrestrial	Soil	Unclassified	Unclassified				Soil microbial communities from Los Alamos National Laboratory, New Mexico, USA - S29_C_D89 hydrophobic	410658	soil metagenome	sand/litter microcosm incubated at 25C	USA: New Mexico	35.88	-106.3031	2020-09-10	Soil microbial communities from Los Alamos National Laboratory, New Mexico, USA; hydrophobic model soil created from clay/sand mixtures with sterile, ground pine litter as a carbon/nitrogen source was inoculated with microbial communities from soils from the southwestern United States and incubated at 25C	7	USA: New Mexico	Soil	USA	2022-09-04	2021-04-17
Gb0290970	4212	Environmental	Terrestrial	Soil	Unclassified	Unclassified				Soil microbial communities from Los Alamos National Laboratory, New Mexico, USA - S16_B_D45 hydrophilic	410658	soil metagenome	sand/litter microcosm incubated at 25C	USA: New Mexico	35.88	-106.3031	2020-07-28	Soil microbial communities from Los Alamos National Laboratory, New Mexico, USA; hydrophilic model soil created from clay/sand mixtures with sterile, ground pine litter as a carbon/nitrogen source was inoculated with microbial communities from soils from the southwestern United States and incubated at 25C	7	USA: New Mexico	Soil	USA	2022-09-04	2021-04-17
Gb0290979	4212	Environmental	Terrestrial	Soil	Unclassified	Unclassified				Soil microbial communities from Los Alamos National Laboratory, New Mexico, USA - S16_B_D89 hydrophilic	410658	soil metagenome	sand/litter microcosm incubated at 25C	USA: New Mexico	35.88	-106.3031	2020-09-10	Soil microbial communities from Los Alamos National Laboratory, New Mexico, USA; hydrophilic model soil created from clay/sand mixtures with sterile, ground pine litter as a carbon/nitrogen source was inoculated with microbial communities from soils from the southwestern United States and incubated at 25C	7	USA: New Mexico	Soil	USA	2022-09-04	2021-04-17
Gb0290977	4212	Environmental	Terrestrial	Soil	Unclassified	Unclassified				Soil microbial communities from Los Alamos National Laboratory, New Mexico, USA - S32_C_D45 hydrophilic	410658	soil metagenome	sand/litter microcosm incubated at 25C	USA: New Mexico	35.88	-106.3031	2020-07-28	Soil microbial communities from Los Alamos National Laboratory, New Mexico, USA; hydrophilic model soil created from clay/sand mixtures with sterile, ground pine litter as a carbon/nitrogen source was inoculated with microbial communities from soils from the southwestern United States and incubated at 25C	7	USA: New Mexico	Soil	USA	2022-09-04	2021-04-17
Gb0290973	4212	Environmental	Terrestrial	Soil	Unclassified	Unclassified				Soil microbial communities from Los Alamos National Laboratory, New Mexico, USA - S17_B_D45 hydrophilic	410658	soil metagenome	sand/litter microcosm incubated at 25C	USA: New Mexico	35.88	-106.3031	2020-07-28	Soil microbial communities from Los Alamos National Laboratory, New Mexico, USA; hydrophilic model soil created from clay/sand mixtures with sterile, ground pine litter as a carbon/nitrogen source was inoculated with microbial communities from soils from the southwestern United States and incubated at 25C	7	USA: New Mexico	Soil	USA	2022-09-04	2021-04-17
Gb0290984	4212	Environmental	Terrestrial	Soil	Unclassified	Unclassified				Soil microbial communities from Los Alamos National Laboratory, New Mexico, USA - S32_A_D89 hydrophilic	410658	soil metagenome	sand/litter microcosm incubated at 25C	USA: New Mexico	35.88	-106.3031	2020-09-10	Soil microbial communities from Los Alamos National Laboratory, New Mexico, USA; hydrophilic model soil created from clay/sand mixtures with sterile, ground pine litter as a carbon/nitrogen source was inoculated with microbial communities from soils from the southwestern United States and incubated at 25C	7	USA: New Mexico	Soil	USA	2022-09-04	2021-04-17
Gb0291004	4212	Environmental	Terrestrial	Soil	Unclassified	Unclassified				Soil microbial communities from Los Alamos National Laboratory, New Mexico, USA - S53_C_D89 hydrophobic	410658	soil metagenome	sand/litter microcosm incubated at 25C	USA: New Mexico	35.88	-106.3031	2020-09-10	Soil microbial communities from Los Alamos National Laboratory, New Mexico, USA; hydrophobic model soil created from clay/sand mixtures with sterile, ground pine litter as a carbon/nitrogen source was inoculated with microbial communities from soils from the southwestern United States and incubated at 25C	7	USA: New Mexico	Soil	USA	2022-09-04	2021-04-17
Gb0291003	4212	Environmental	Terrestrial	Soil	Unclassified	Unclassified				Soil microbial communities from Los Alamos National Laboratory, New Mexico, USA - S53_B_D89 hydrophobic	410658	soil metagenome	sand/litter microcosm incubated at 25C	USA: New Mexico	35.88	-106.3031	2020-09-10	Soil microbial communities from Los Alamos National Laboratory, New Mexico, USA; hydrophobic model soil created from clay/sand mixtures with sterile, ground pine litter as a carbon/nitrogen source was inoculated with microbial communities from soils from the southwestern United States and incubated at 25C	7	USA: New Mexico	Soil	USA	2022-09-04	2021-04-17
