Number	Item	Vote	Comments	Filename
1.0	Structured or unstructured abstract	Yes	Contains both an abstract and plain language summary with background, methods, results and significance.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
1.1	Study design	Yes	States this is a laboratory-controlled freeze-thaw incubation experiment examining two soil systems.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
1.2	Environmental & sample information	Yes	Describes permafrost soils from two Alaskan sites and depths up to 60 cm.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
1.3	Host information (if applicable)	NA	Study does not involve host organisms.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
1.4	Experiments & omics methods	Yes	Describes use of FT-ICR-MS analysis to identify carbon compounds and oxidation states.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
1.5	Analyses & results	Yes	Describes major findings regarding carbon composition differences between sites and response to freeze-thaw.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
2.0	Background & rationale	Yes	Introduction thoroughly explains importance of understanding freeze-thaw cycles in permafrost soils with citations.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
2.1	Hypotheses or questions	Yes	Two clear hypotheses presented in introduction regarding carbon composition and freeze-thaw response.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
3.0	Study design	Yes	Describes lab incubation design comparing two sites with different freeze-thaw histories.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
3.1	Samples	Yes	Details number of cores (3 per site) and depths/horizons sampled from each site.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
3.2	Environmental context & geographic location	Yes	Provides coordinates and detailed site descriptions for Healy and Toolik locations in Alaska.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
3.3	Relevant dates	Yes	States cores were collected in April 2016.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
3.4	Host(s) (if applicable)	NA	No host organisms involved.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
3.5	Ethics	NA	No human/animal subjects or permits required for soil sampling.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
3.6	Environmental conditions & experimental treatments	Yes	Describes site conditions, soil properties, and experimental freeze-thaw treatments.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
3.7	Sample collection	Yes	Describes use of Gidding's probe for core extraction and preservation methods.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
3.8	Eligibility/selection criteria	Yes	Explains site selection based on contrasting freeze-thaw histories.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
3.9	Analytic sample size	Yes	Reports 3 cores per site to ~60 cm depth.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
4.0	Storage & preservation	Yes	Details -40°C storage of cores and handling conditions.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
4.1	Shipping	Yes	States cores were shipped frozen to Oregon State University.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
4.2	Extraction methods	Yes	Describes water extraction methods for FT-ICR-MS analysis.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
4.3	Experiments & sample processing	Yes	Details laboratory freeze-thaw incubation parameters and sub-sampling procedures.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
4.4	Library preparation	NA	Not applicable - no sequencing performed.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
4.5	Depletion, enrichment, & multiplexing	NA	Not applicable - no sequencing performed.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
4.6	Primer selection	NA	Not applicable - no PCR/sequencing performed.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
5.0	Positive controls	No	No mention of positive controls or standards.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
5.1	Negative controls	No	No mention of negative controls.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
6.0	Quantification & quality assessments	Yes	Details FT-ICR-MS data filtering and quality parameters.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
6.1	Contaminant mitigation & identification	Yes	Describes signal filtering and peak selection criteria.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
6.2	Replication	Yes	Reports 3 replicate cores per site.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
6.3	Sequencing methods	NA	Not applicable - no sequencing performed.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
6.4	Metabolomics, metaproteomics, & other omics methods	Yes	Comprehensive description of FT-ICR-MS methods and parameters.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
6.5	Contextual & linked datasets	Yes	References NEON soil temperature data used to calculate freeze-thaw cycles.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
6.6	Batch effects	No	Batch effects not discussed.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
7.0	Bioinformatics analyses	Yes	Details statistical analyses and data processing methods.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
7.1	Quality control	Yes	Describes filtering criteria and data quality thresholds.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
7.2	Normalization	Yes	Explains relative abundance calculations and data transformations.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
7.3	Database information	NA	Not applicable - no sequence databases used.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
7.4	Statistical methods	Yes	Details statistical tests including PERMANOVA, ANOVA, PCA.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
7.5	Missing data	Yes	States exclusion criteria for missing data and low quality measurements.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
7.6	Bias & confounding variables	Yes	Discusses potential confounding factors like moisture and mineralogy.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
