Filename	DOI	Year	Volume	Pages	Title	Author	Subject	Keywords	Creation Date	Modification Date	Producer	Creator
acp-23-15783-2023.pdf									2023-12-22	2023-12-22	pdfTeX-1.40.19	copernicus.cls Version 2023/11/02 10.1.11 Copernicus papers, produced from XML
bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.pdf	10.1128/mra.01361-19	2020	9	10	Metatranscriptomic Sequencing of a Cyanobacterial Soil-Surface Consortium with and without a Diverse Underlying Soil Microbiome	Terrence H. Bell, Ryan V. Trexler, Xin Peng, Marcel Huntemann, Alicia Clum, Brian Foster, Bryce Foster, Simon Roux, Krishnaveni Palaniappan, Neha Varghese, Supratim Mukherjee, T. B. K. Reddy, Chris Daum, Alex Copeland, Natalia N. Ivanova, Nikos C. Kyrpides, Christa Pennacchio, Emiley A. Eloe-Fadrosh, Mary Ann Bruns	Microbiol Resour Announc 2020.9:10.1128/mra.01361-19		2019-12-10	2025-02-10	Adobe LiveCycle PDF Generator; modified using iText 4.2.0 by 1T3XT	XPP
Soil_Bacterial_Diversity_Is_Positively_Correlated_.pdf					Microsoft Word - microorganisms-1106083.docx	Admin			2021-02-11	2021-02-11	Acrobat Distiller 21.0 (Windows)	PScript5.dll Version 5.2.2
BISS_article_20637.pdf							description	keywords			WeasyPrint 0.31 (http://weasyprint.org/)	
s40168-020-00889-8.pdf	10.1186/s40168-020-00889-8				Influence of the polar light cycle on seasonal dynamics of an Antarctic lake microbial community	Pratibha Panwar	Microbiome, 2020, doi:10.1186/s40168-020-00889-8	Antarctic microbiology,Polar light cycle,Metagenome time series,Host-virus interactions,Meromictic lake,Microbial food web,Green sulfur bacteria,Phototroph	2020-11-14	2020-11-15	Acrobat Distiller 10.0.0 (Windows); modified using iText® 5.3.5 ©2000-2012 1T3XT BVBA (SPRINGER SBM; licensed version)	Arbortext Advanced Print Publisher 9.1.440/W Unicode
sciadv.adg7888.pdf		2024	10	eadg7888	Reproducible growth of Brachypodium in EcoFAB 2.0 reveals that nitrogen form and starvation modulate root exudation		Sci. Adv. 2024.10:eadg7888		2023-12-29	2024-08-22	Adobe PDF Library 15.0; modified using iText 4.2.0 by 1T3XT	Adobe InDesign 16.2 (Windows)
s41597-024-04013-5.pdf	10.1038/s41597-024-04013-5				Microbial Metagenomes Across a Complete Phytoplankton Bloom Cycle: High-Resolution Sampling Every 4 Hours Over 22 Days	Brook L. Nunn	Scientific Data, doi:10.1038/s41597-024-04013-5		2025-01-15	2025-01-21	iText® 5.3.5 ©2000-2012 1T3XT BVBA (SPRINGER SBM; licensed version)	Springer
s41564-020-00861-0.pdf	10.1038/s41564-020-00861-0				Genomic and functional analyses of fungal and bacterial consortia that enable lignocellulose breakdown in goat gut microbiomes	Xuefeng Peng	Nature Microbiology, doi:10.1038/s41564-020-00861-0		2021-03-24	2021-03-24		Springer
41564_2019_Article_449.pdf	10.1038/s41564-019-0449-y				Mediterranean grassland soil C–N compound turnover is dependent on rainfall and depth, and is mediated by genomically divergent microorganisms	Spencer Diamond	Nature Microbiology, doi:10.1038/s41564-019-0449-y		2019-07-17	2019-07-17		Springer
gkab990.pdf									2021-12-27	2024-08-21	Acrobat Distiller 21.0 (Windows); modified using iTextSharp 5.5.10 ©2000-2016 iText Group NV (AGPL-version)	XMLPublish v.3.0 Copyright 1991-2017 Aptara Inc.
