accession	latitude	longitude	osm_type	osm_id	feature_latitude	feature_longitude	distance_meters	name	tags	characteristic_score	rank
SAMEA7724195	45.046708	-123.895233	way	553196120	45.0499123	-123.8961587	363.6478087786893	Kingston Creek	{'name': 'Kingston Creek', 'source': 'NHD', 'waterway': 'stream'}	0.8899439898479247	2
SAMEA7724195	45.046708	-123.895233	way	5242387	45.051464	-123.893053	555.8819395961908	United States Forest Service Road 1100-133	{'alt_name': 'USFS Hub Creek', 'highway': 'track', 'motor_vehicle': 'no', 'name': 'United States Forest Service Road 1100-133', 'ref': 'FR 1100-133', 'short_name': 'USFS 1100-133 Rd;USFS 11-133 Rd', 'surface': 'gravel', 'tiger:cfcc': 'A41', 'tiger:county': 'Tillamook, OR', 'tiger:reviewed': 'no'}	0.8709886956695336	32
SAMEA7724195	45.046708	-123.895233	way	5242375	45.0481439	-123.8915387	331.24963418165856	United States Forest Service Road 1100-134	{'alt_name': 'USFS Hub Wheel', 'highway': 'track', 'motor_vehicle': 'no', 'name': 'United States Forest Service Road 1100-134', 'ref': 'FR 1100-134', 'short_name': 'USFS 1100-134 Rd;USFS 11-134 Rd', 'surface': 'gravel', 'tiger:cfcc': 'A41', 'tiger:county': 'Tillamook, OR', 'tiger:reviewed': 'no'}	0.8695609627525643	40
SAMEA7724195	45.046708	-123.895233	way	751688948	45.0526795	-123.894431	666.9828781068451		{'landuse': 'forest'}	0.8680406308117278	44
SAMEA7724195	45.046708	-123.895233	way	1031829875	45.0526795	-123.894431	666.9828781068451		{'landuse': 'forest'}	0.8680406308117278	45
SAMEA7724195	45.046708	-123.895233	relation	4654816	45.0526795	-123.894431	666.9828781068451	Siuslaw National Forest	{'boundary': 'protected_area', 'leisure': 'nature_reserve', 'name': 'Siuslaw National Forest', 'operator': 'United States Forest Service', 'operator:short': 'USFS', 'operator:type': 'public', 'operator:wikidata': 'Q1891156', 'operator:wikipedia': 'en:United States Forest Service', 'ownership': 'national', 'protect_class': '6', 'protected': 'perpetuity', 'protected_area': 'forest_reserve', 'protection_title': 'National Forest', 'source': 'National Forest Service', 'type': 'multipolygon', 'wikidata': 'Q1165341', 'wikipedia': 'en:Siuslaw National Forest'}	0.8680406308117278	46
SAMEA7724195	45.046708	-123.895233	way	157032646	45.0455697	-123.8991548	333.0951438387958		{'admin_level': '6', 'border_type': 'county', 'boundary': 'administrative', 'source': 'TIGER 2011 county borders'}	0.8565110855017025	63
SAMEA7724195	45.046708	-123.895233	way	640733210	45.0455697	-123.8991548	333.0951438387958		{'admin_level': '6', 'border_type': 'county', 'boundary': 'administrative', 'source': 'TIGER 2011 county borders'}	0.8565110855017025	64
SAMEA7724195	45.046708	-123.895233	way	640733231	45.0455697	-123.8991548	333.0951438387958	North Forest Road	{'alt_name': 'USFS Cascade Head', 'highway': 'residential', 'name': 'North Forest Road', 'ref': 'FR 1861', 'short_name': 'USFS 1861 Rd', 'surface': 'gravel'}	0.8565110855017025	65
SAMEA7724195	45.046708	-123.895233	relation	1837122	45.0455697	-123.8991548	333.0951438387958	Lincoln County	{'admin_level': '6', 'border_type': 'county', 'boundary': 'administrative', 'name': 'Lincoln County', 'nist:fips_code': '41041', 'nist:state_fips': '41', 'population': '47038', 'type': 'boundary', 'wikidata': 'Q302852', 'wikipedia': 'en:Lincoln County, Oregon'}	0.8565110855017025	66
SAMEA7724195	45.046708	-123.895233	relation	1837128	45.0455697	-123.8991548	333.0951438387958	Tillamook County	{'admin_level': '6', 'border_type': 'county', 'boundary': 'administrative', 'name': 'Tillamook County', 'nist:fips_code': '41057', 'nist:state_fips': '41', 'population': '25653', 'type': 'boundary', 'wikidata': 'Q495359', 'wikipedia': 'en:Tillamook County, Oregon'}	0.8565110855017025	67
SAMEA7724195	45.046708	-123.895233	way	553423812	45.0475591	-123.9036923	671.2838904084828	Toketa Creek	{'name': 'Toketa Creek', 'source': 'NHD', 'waterway': 'stream'}	0.8561422049566442	69
