accession	Package.content	Package.display_name	Status.status	Status.when	access	id	last_update	publication_date	submission_date	owner_name	description	organism_name	taxonomy_id	taxonomy_name	elev	env_broad_scale	env_local_scale	env_package	env_medium	geo_loc_name	host_subject_id	investigation_type	project_name	sample_name	sample_type	samp_store_dur	samp_store_loc	samp_store_temp	diet	host_body_habitat	host_body_product	host_tissue_sampled	host_common_name	host	host_taxid	host_diet	host_life_stage	host_sex	cur_vegetation	ph	oxy_stat_samp	experimental_factor	soil_type	life_stage	sex	host_substrate	chem_administration	gravidity	host_age	host_last_meal	host_family_relationship	substrate	store_cond	density	diss_oxygen	fluor	host_disease	air_temp	drainage_class	cur_land_use	water_content	water_content_soil_meth	local_class	fao_class	link_climate_info	ph_meth	soil_text_measure	samp_vol_we_dna_ext	carb_nitro_ratio	slope_gradient	tot_nitro	tot_org_carb	annual_season_temp	flooding	soil_horizon	link_class_info	soil_texture_meth
SAMEA7723388	Generic.1.0	Generic	live	2020-12-18T17:06:59.993	public	17116592	2021-08-23T00:26:32.000	2020-12-17T00:00:00.000	2020-12-18T16:06:46.873	EBI	Corn Beer Fermentation Bioreactor Biomass	bioreactor metagenome	1076179	bioreactor metagenome	123	urban biome	anaerobic bioreactor	host-associated	anaerobic sludge	USA: State of New York,City of Ithaca	LTA.misc.104	metagenome	Corn Beer Fermentation Bioreactor	qiita_sid_13114:13114.angenent.65.s001	bioreactor sludge																																																				
SAMEA7723389	Generic.1.0	Generic	live	2020-12-18T17:07:00.400	public	17116593	2021-08-23T00:26:34.000	2020-12-17T00:00:00.000	2020-12-18T16:06:47.310	EBI	Corn Beer Fermentation Bioreactor Biomass	bioreactor metagenome	1076179	bioreactor metagenome	123	urban biome	anaerobic bioreactor	host-associated	anaerobic sludge	USA: State of New York,City of Ithaca	LTA.misc.519	metagenome	Corn Beer Fermentation Bioreactor	qiita_sid_13114:13114.angenent.65.s002	bioreactor sludge																																																				
SAMEA7723390	Generic.1.0	Generic	live	2020-12-18T17:07:00.777	public	17116594	2021-08-23T00:26:35.000	2020-12-17T00:00:00.000	2020-12-18T16:06:47.670	EBI	Corn Beer Fermentation Bioreactor Biomass	bioreactor metagenome	1076179	bioreactor metagenome	123	urban biome	anaerobic bioreactor	host-associated	anaerobic sludge	USA: State of New York,City of Ithaca	LTA.misc.1538	metagenome	Corn Beer Fermentation Bioreactor	qiita_sid_13114:13114.angenent.65.s005	bioreactor sludge																																																				
SAMEA7723391	Generic.1.0	Generic	live	2020-12-18T17:07:00.883	public	17116595	2021-08-23T00:26:35.000	2020-12-17T00:00:00.000	2020-12-18T16:06:48.030	EBI	Corn Beer Fermentation Bioreactor Biomass	bioreactor metagenome	1076179	bioreactor metagenome	123	urban biome	anaerobic bioreactor	host-associated	anaerobic sludge	USA: State of New York,City of Ithaca	LTA.misc.1722	metagenome	Corn Beer Fermentation Bioreactor	qiita_sid_13114:13114.angenent.65.s007	bioreactor sludge																																																				
SAMEA7723392	Generic.1.0	Generic	live	2020-12-18T17:07:01.243	public	17116596	2021-08-23T00:26:35.000	2020-12-17T00:00:00.000	2020-12-18T16:06:48.390	EBI	Freshwater sediment core slice from Doe Pond MA. Aseptically collected subsample.	freshwater sediment metagenome	556182	freshwater sediment metagenome	75.6	Small lake biome	pond bed	sediment	lake sediment	USA: State of Massachusetts,Hampden County	Do41	metagenome	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	qiita_sid_13114:13114.berry.2.s004	sediment	2002-2016	Davis CA	-80																																																	
SAMEA7723393	Generic.1.0	Generic	live	2020-12-18T17:07:01.603	public	17116597	2021-08-23T00:26:38.000	2020-12-17T00:00:00.000	2020-12-18T16:06:48.750	EBI	Freshwater sediment core slice from Pickerel Pond MA. Aseptically collected subsample.	freshwater sediment metagenome	556182	freshwater sediment metagenome	69.8	Small lake biome	pond bed	sediment	lake sediment	USA: State of Massachusetts,Town of Ludlow	Pi5	metagenome	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	qiita_sid_13114:13114.berry.2.s007	sediment	2002-2016	Davis CA	-80																																																	
SAMEA7723394	Generic.1.0	Generic	live	2020-12-18T17:07:01.760	public	17116598	2021-08-23T00:26:38.000	2020-12-17T00:00:00.000	2020-12-18T16:06:49.106	EBI	Freshwater sediment core slice from Pickerel Pond MA. Aseptically collected subsample.	freshwater sediment metagenome	556182	freshwater sediment metagenome	69.8	Small lake biome	pond bed	sediment	lake sediment	USA: State of Massachusetts,Town of Ludlow	Pi11	metagenome	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	qiita_sid_13114:13114.berry.2.s008	sediment	2002-2016	Davis CA	-80																																																	
SAMEA7723395	Generic.1.0	Generic	live	2020-12-18T17:07:02.150	public	17116599	2021-08-23T00:26:38.000	2020-12-17T00:00:00.000	2020-12-18T16:06:49.450	EBI	Freshwater sediment core slice from Pickerel Pond MA. Aseptically collected subsample.	freshwater sediment metagenome	556182	freshwater sediment metagenome	69.8	Small lake biome	pond bed	sediment	lake sediment	USA: State of Massachusetts,Town of Ludlow	Pi31	metagenome	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	qiita_sid_13114:13114.berry.2.s009	sediment	2002-2016	Davis CA	-80																																																	
SAMEA7723396	Generic.1.0	Generic	live	2020-12-18T17:07:02.260	public	17116600	2021-08-23T00:26:39.000	2020-12-17T00:00:00.000	2020-12-18T16:06:49.810	EBI	Freshwater sediment core slice from Pickerel Pond MA. Aseptically collected subsample.	freshwater sediment metagenome	556182	freshwater sediment metagenome	69.8	Small lake biome	pond bed	sediment	lake sediment	USA: State of Massachusetts,Town of Ludlow	Pi61	metagenome	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	qiita_sid_13114:13114.berry.2.s010	sediment	2002-2016	Davis CA	-80																																																	
SAMEA7723397	Generic.1.0	Generic	live	2020-12-18T17:07:02.620	public	17116601	2021-08-23T00:26:41.000	2020-12-17T00:00:00.000	2020-12-18T16:06:50.170	EBI	Freshwater sediment core slice from Pickerel Pond MA. Aseptically collected subsample.	freshwater sediment metagenome	556182	freshwater sediment metagenome	69.8	Small lake biome	pond bed	sediment	lake sediment	USA: State of Massachusetts,Town of Ludlow	Pi71	metagenome	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	qiita_sid_13114:13114.berry.2.s011	sediment	2002-2016	Davis CA	-80																																																	
SAMEA7723398	Generic.1.0	Generic	live	2020-12-18T17:07:02.980	public	17116602	2021-08-23T00:26:41.000	2020-12-17T00:00:00.000	2020-12-18T16:06:50.530	EBI	Freshwater sediment core slice, Uncas Pond, MA. Aseptically collected subsample.	freshwater sediment metagenome	556182	freshwater sediment metagenome	92.7	Small lake biome	pond bed	sediment	lake sediment	USA: State of Massachusetts,Norfolk County	Un96	metagenome	Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles	qiita_sid_13114:13114.berry.2.s019	sediment	2002-2016	Davis CA	-80																																																	
SAMEA7723399	Generic.1.0	Generic	live	2020-12-18T17:07:03.353	public	17116603	2021-08-23T00:26:41.000	2020-12-17T00:00:00.000	2020-12-18T16:06:50.826	EBI	Salt marsh sediment sample collected from the Plum Island LTER Site in Rowley, MA at Sweeney Creek underlying tall Spartina alterniflora	marine sediment metagenome	412755	marine sediment metagenome	0	marine salt marsh biome	marine benthic feature	sediment	marine sediment	USA: Commonwealth of Massachusetts,Plum Island	Bowen74.sed1	metagenome	Plum Island sediments	qiita_sid_13114:13114.bowen.74.s001	sediment																																																				
