biosample_id	has_raw_value	extracted_label	extracted_curie	extracted_timestamp	term_id	term_name
nmdc:bsm-11-071rdf83	ursodiol [CHEBI:9907];2021-12-24	ursodiol	CHEBI:9907	2021-12-24	CHEBI:9907	ursodiol
nmdc:bsm-11-071rdf83	S-adenosyl-L-methionine [CHEBI:15414];2021-12-24	S-adenosyl-L-methionine	CHEBI:15414	2021-12-24	CHEBI:15414	S-adenosyl-L-methionine
nmdc:bsm-11-071rdf83	silibinin [CHEBI:9144];2021-12-24	silibinin	CHEBI:9144	2021-12-24	CHEBI:9144	silibinin
nmdc:bsm-11-071rdf83	phosphatidylcholine [CHEBI:64482];2021-12-24	phosphatidylcholine	CHEBI:64482	2021-12-24	CHEBI:64482	phosphatidylcholine
nmdc:bsm-11-071rdf83	levetiracetam [CHEBI:6437];2021-12-24	levetiracetam	CHEBI:6437	2021-12-24	CHEBI:6437	levetiracetam
nmdc:bsm-11-071rdf83	ondansetron [CHEBI:7773];2021-12-24	ondansetron	CHEBI:7773	2021-12-24	CHEBI:7773	ondansetron
nmdc:bsm-11-071rdf83	gabapentin [CHEBI:42797];2021-12-24	gabapentin	CHEBI:42797	2021-12-24	CHEBI:42797	gabapentin
nmdc:bsm-11-071rdf83	clavamox [CHEBI:2676];2021-12-24	clavamox	CHEBI:2676	2021-12-24	CHEBI:2676	clavamox
nmdc:bsm-11-0nazn012	prednisone [CHEBI:8382];2020-08-12	prednisone	CHEBI:8382	2020-08-12	CHEBI:8382	prednisone
nmdc:bsm-11-0nazn012	ondansetron [CHEBI:7773];2020-08-12	ondansetron	CHEBI:7773	2020-08-12	CHEBI:7773	ondansetron
nmdc:bsm-11-1gzgce32	prednisone [CHEBI:8382];2019-09-18	prednisone	CHEBI:8382	2019-09-18	CHEBI:8382	prednisone
nmdc:bsm-11-1gzgce32	ondansetron [CHEBI:7773];2019-09-18	ondansetron	CHEBI:7773	2019-09-18	CHEBI:7773	ondansetron
