accession	attribute_name	harmonized_name	display_name	content
SAMEA7723388	ENA first public			2020-12-17
SAMEA7723388	ENA last update			2020-12-15
SAMEA7723388	ENA-CHECKLIST			ERC000011
SAMEA7723388	External Id			SAMEA7723388
SAMEA7723388	INSDC center alias			UCSDMI
SAMEA7723388	INSDC center name			University of California San Diego Microbiome Initiative
SAMEA7723388	INSDC first public			2020-12-17T04:08:05Z
SAMEA7723388	INSDC last update			2020-12-15T22:06:58Z
SAMEA7723388	INSDC status			public
SAMEA7723388	Submitter Id			qiita_sid_13114:13114.angenent.65.s001
SAMEA7723388	alpha_shotgun_woltka_faithspd			154.84642968278172
SAMEA7723388	alpha_shotgun_woltka_min10k_faithspd			154.48865442301872
SAMEA7723388	alpha_shotgun_woltka_min10k_richness			925.0
SAMEA7723388	alpha_shotgun_woltka_min10k_shannon			2.5388923543465407
SAMEA7723388	alpha_shotgun_woltka_min3450_faithspd			80.46656046
SAMEA7723388	alpha_shotgun_woltka_min3450_richness			497.0
SAMEA7723388	alpha_shotgun_woltka_min3450_shannon			1.826695625
SAMEA7723388	alpha_shotgun_woltka_rar10k_faithspd			34.86255725144292
SAMEA7723388	alpha_shotgun_woltka_rar10k_richness			114.0
SAMEA7723388	alpha_shotgun_woltka_rar10k_shannon			2.545718200662302
SAMEA7723388	alpha_shotgun_woltka_rar3450_faithspd			14.29842542
SAMEA7723388	alpha_shotgun_woltka_rar3450_richness			50.0
SAMEA7723388	alpha_shotgun_woltka_rar3450_shannon			1.812389687
SAMEA7723388	alpha_shotgun_woltka_richness			926.0
SAMEA7723388	alpha_shotgun_woltka_shannon			2.538905190183222
SAMEA7723388	barcode_prefix			angenent.65.s001
SAMEA7723388	collection_timestamp			8/9/11 0:00
SAMEA7723388	elevation	elev	elevation	123
SAMEA7723388	emp500_principal_investigator			Angenent
SAMEA7723388	emp500_study_id			65
SAMEA7723388	emp500_title			Rumen animals and bioreactor
SAMEA7723388	empo_0			EMP sample
SAMEA7723388	empo_1			Host-associated
SAMEA7723388	empo_2			Animal
SAMEA7723388	empo_3			Animal proximal gut
SAMEA7723388	env biome	env_broad_scale	broad-scale environmental context	urban biome
SAMEA7723388	env feature	env_local_scale	local-scale environmental context	anaerobic bioreactor
SAMEA7723388	env package	env_package	environmental package	wastewater/sludge
SAMEA7723388	env_material	env_medium	environmental medium	anaerobic sludge
SAMEA7723388	environmental_package	env_package	environmental package	host-associated
SAMEA7723388	gcms_analysis_batch			note applicable
SAMEA7723388	gcms_run_location			UCSD
SAMEA7723388	gcms_sample_name			EMP_Feces_angenent_65_s001_a03_M_185
SAMEA7723388	gcms_sequence			185
SAMEA7723388	geo loc name	geo_loc_name	geographic location	USA: State of New York,City of Ithaca
SAMEA7723388	host subject id	host_subject_id	host subject id	LTA.misc.104
SAMEA7723388	investigation type	investigation_type	investigation type	metagenome
SAMEA7723388	latitude			42.44
SAMEA7723388	lcms_batch			5.00
SAMEA7723388	lcms_extraction_protocol			Bulk_201901_UCSD
SAMEA7723388	lcms_position			5A1
SAMEA7723388	lcms_replicate			no
SAMEA7723388	lcms_sample_name_cmn			5A1_2_2_angenent-65-s001-a04
SAMEA7723388	lcms_sample_name_fbmn			5A1_2_2_angenent-65-s001-a04.mzML
SAMEA7723388	lcms_sample_type			Sample
SAMEA7723388	lcms_sample_type_sub			Bulk
SAMEA7723388	longitude			-76.5
SAMEA7723388	original sample id			Angenent65.misc.104
SAMEA7723388	physical_specimen_location			UCSD Knight Lab Freezer I
SAMEA7723388	physical_specimen_remaining			TRUE
SAMEA7723388	project name	project_name	project name	Corn Beer Fermentation Bioreactor
