accession	latitude	longitude	osm_type	osm_id	feature_latitude	feature_longitude	distance_meters	name	tags	characteristic_score	rank
SAMEA7724195	45.046708	-123.895233	way	553196120	45.0499123	-123.8961587	363.647808778689	Kingston Creek	{'name': 'Kingston Creek', 'source': 'NHD', 'waterway': 'stream'}	0.889943989847925	2
SAMEA7724195	45.046708	-123.895233	way	5242387	45.051464	-123.893053	555.881939596191	United States Forest Service Road 1100-133	{'alt_name': 'USFS Hub Creek', 'highway': 'track', 'motor_vehicle': 'no', 'name': 'United States Forest Service Road 1100-133', 'ref': 'FR 1100-133', 'short_name': 'USFS 1100-133 Rd;USFS 11-133 Rd', 'surface': 'gravel', 'tiger:cfcc': 'A41', 'tiger:county': 'Tillamook, OR', 'tiger:reviewed': 'no'}	0.870988695669534	32
SAMEA7724195	45.046708	-123.895233	way	5242375	45.0481439	-123.8915387	331.249634181659	United States Forest Service Road 1100-134	{'alt_name': 'USFS Hub Wheel', 'highway': 'track', 'motor_vehicle': 'no', 'name': 'United States Forest Service Road 1100-134', 'ref': 'FR 1100-134', 'short_name': 'USFS 1100-134 Rd;USFS 11-134 Rd', 'surface': 'gravel', 'tiger:cfcc': 'A41', 'tiger:county': 'Tillamook, OR', 'tiger:reviewed': 'no'}	0.869560962752564	40
SAMEA7724195	45.046708	-123.895233	way	751688948	45.0526795	-123.894431	666.982878106845		{'landuse': 'forest'}	0.868040630811728	44
SAMEA7724195	45.046708	-123.895233	way	1031829875	45.0526795	-123.894431	666.982878106845		{'landuse': 'forest'}	0.868040630811728	45
SAMEA7724195	45.046708	-123.895233	relation	4654816	45.0526795	-123.894431	666.982878106845	Siuslaw National Forest	{'boundary': 'protected_area', 'leisure': 'nature_reserve', 'name': 'Siuslaw National Forest', 'operator': 'United States Forest Service', 'operator:short': 'USFS', 'operator:type': 'public', 'operator:wikidata': 'Q1891156', 'operator:wikipedia': 'en:United States Forest Service', 'ownership': 'national', 'protect_class': '6', 'protected': 'perpetuity', 'protected_area': 'forest_reserve', 'protection_title': 'National Forest', 'source': 'National Forest Service', 'type': 'multipolygon', 'wikidata': 'Q1165341', 'wikipedia': 'en:Siuslaw National Forest'}	0.868040630811728	46
SAMEA7724195	45.046708	-123.895233	way	157032646	45.0455697	-123.8991548	333.095143838796		{'admin_level': '6', 'border_type': 'county', 'boundary': 'administrative', 'source': 'TIGER 2011 county borders'}	0.856511085501703	63
SAMEA7724195	45.046708	-123.895233	way	640733210	45.0455697	-123.8991548	333.095143838796		{'admin_level': '6', 'border_type': 'county', 'boundary': 'administrative', 'source': 'TIGER 2011 county borders'}	0.856511085501703	64
SAMEA7724195	45.046708	-123.895233	way	640733231	45.0455697	-123.8991548	333.095143838796	North Forest Road	{'alt_name': 'USFS Cascade Head', 'highway': 'residential', 'name': 'North Forest Road', 'ref': 'FR 1861', 'short_name': 'USFS 1861 Rd', 'surface': 'gravel'}	0.856511085501703	65
SAMEA7724195	45.046708	-123.895233	relation	1837122	45.0455697	-123.8991548	333.095143838796	Lincoln County	{'admin_level': '6', 'border_type': 'county', 'boundary': 'administrative', 'name': 'Lincoln County', 'nist:fips_code': '41041', 'nist:state_fips': '41', 'population': '47038', 'type': 'boundary', 'wikidata': 'Q302852', 'wikipedia': 'en:Lincoln County, Oregon'}	0.856511085501703	66
SAMEA7724195	45.046708	-123.895233	relation	1837128	45.0455697	-123.8991548	333.095143838796	Tillamook County	{'admin_level': '6', 'border_type': 'county', 'boundary': 'administrative', 'name': 'Tillamook County', 'nist:fips_code': '41057', 'nist:state_fips': '41', 'population': '25653', 'type': 'boundary', 'wikidata': 'Q495359', 'wikipedia': 'en:Tillamook County, Oregon'}	0.856511085501703	67
SAMEA7724195	45.046708	-123.895233	way	553423812	45.0475591	-123.9036923	671.283890408483	Toketa Creek	{'name': 'Toketa Creek', 'source': 'NHD', 'waterway': 'stream'}	0.856142204956644	69
SAMEA7724195	45.046708	-123.895233	way	553424063	45.0454659	-123.8998993	391.754665489292	Toketa Creek	{'intermittent': 'yes', 'name': 'Toketa Creek', 'source': 'NHD', 'waterway': 'stream'}	0.852237313636775	73
